outcome,model,n,ev,auc,gain_vs_two,lo,hi,sig
death_30d,two,1649,152,0.8640021270611398,0.0,0.0,0.0,0
death_30d,global_static,1649,152,0.8632989663537601,-0.0007125167707203016,-0.00221488808023432,0.0006144673718687376,0
death_30d,strat_static,1649,152,0.8629385964912282,-0.0011100621928444672,-0.004526564617204296,0.0022609025271557027,0
death_30d,strat_traj,1649,152,0.861525682944837,-0.002530162169096628,-0.0076556022522654395,0.00234125663739889,0
death_30d,strat_traj_only,1649,152,0.8603588756460289,-0.003691753993435068,-0.008961092644939415,0.0012741267778516344,0
death_30d,strat_traj_vs_strat_static,1649,152,,-0.0014200999762521605,-0.004639479528938864,0.00132754392826304,0
death_30d,strat_static_vs_global_static,1649,152,,-0.00039754542212416577,-0.0036969193262410853,0.002878212178880053,0
death_30d,strat_traj_vs_global_static,1649,152,,-0.0018176453983763264,-0.0064540268401369226,0.0025853239771797,0
death_30d_inhosp,two,1649,83,0.8585914539383587,0.0,0.0,0.0,0
death_30d_inhosp,global_static,1649,83,0.8572835402914338,-0.0013167843633606223,-0.011538491741314485,0.008597136841227622,0
death_30d_inhosp,strat_static,1649,83,0.8462239763652311,-0.012197382013371841,-0.026862216481173883,0.0010751655488964516,0
death_30d_inhosp,strat_traj,1649,83,0.8489051993414269,-0.009519950922114225,-0.023040347104500192,0.0030397323574517985,0
death_30d_inhosp,strat_traj_only,1649,83,0.8526519872593825,-0.005824727676091984,-0.014755485182357572,0.002481708722939437,0
death_30d_inhosp,strat_traj_vs_strat_static,1649,83,,0.0026774310912576153,1.5930214311463133e-05,0.005465630816001595,1
death_30d_inhosp,strat_static_vs_global_static,1649,83,,-0.010880597650011219,-0.019660873432389207,-0.0025000529077409883,1
death_30d_inhosp,strat_traj_vs_global_static,1649,83,,-0.008203166558753604,-0.01711116217288452,0.0002802209602770819,0
composite_30d,two,1649,219,0.8306542772296195,0.0,0.0,0.0,0
composite_30d,global_static,1649,219,0.8281045438579683,-0.002514167404814752,-0.005427551178908007,0.00031800054097640655,0
composite_30d,strat_static,1649,219,0.8298831305680622,-0.000789690271917846,-0.004593048827230439,0.002789309357422467,0
composite_30d,strat_traj,1649,219,0.8309703994635501,0.0003474789003088912,-0.006172244588218914,0.006648435666564629,0
composite_30d,strat_traj_only,1649,219,0.8314781109301658,0.000874639539929112,-0.005153039460709341,0.006710403078001076,0
composite_30d,strat_traj_vs_strat_static,1649,219,,0.0011371691722267372,-0.0043031454872448196,0.006615916845890466,0
composite_30d,strat_static_vs_global_static,1649,219,,0.0017244771328969062,-0.0017913043072024764,0.005146877457573599,0
composite_30d,strat_traj_vs_global_static,1649,219,,0.002861646305123643,-0.003294904902414539,0.008854692525805685,0
cv_first,two,1506,76,0.8012743835112255,0.0,0.0,0.0,0
cv_first,global_static,1506,76,0.7988176297386824,-0.002379109275525294,-0.009882294198306862,0.004310828565132101,0
cv_first,strat_static,1506,76,0.7918384247331616,-0.009476457277328923,-0.018512040790008295,-0.0008377116233675631,1
cv_first,strat_traj,1506,76,0.7981965403018034,-0.0029757256679866463,-0.01671407077399397,0.010306857537617165,0
cv_first,strat_traj_only,1506,76,0.8007545086492455,-0.0003805458396717401,-0.013757731837166822,0.012480130948906378,0
cv_first,strat_traj_vs_strat_static,1506,76,,0.006500731609342277,-0.005716265062714823,0.01758096588163261,0
cv_first,strat_static_vs_global_static,1506,76,,-0.007097348001803629,-0.015040450413474824,0.0005351051915323926,0
cv_first,strat_traj_vs_global_static,1506,76,,-0.0005966163924613524,-0.013172478869385823,0.011533522162350839,0
