outcome,model,protocol,n_mod,n,ev,auc,ehr_ref,gain,lo,hi,weights,sig
death_30d,ctpa+ehr,source,2,1649,152,0.8627342404106458,0.8571045599971874,0.0057022160049476885,-0.010554547862596853,0.02170146293879739,"[0.35, 0.65]",0
death_30d,ctpa+ehr,target_cv,2,1649,152,0.8640043244383503,0.8571045599971874,0.006983696140685458,-0.003274630662164599,0.016939532958561505,"[0.22, 0.78]",0
death_30d,cxr+ehr,source,2,533,70,0.8226319037334155,0.8569885837704412,-0.033464485986009235,-0.070954057504772,0.003436357307410461,"[0.5, 0.5]",0
death_30d,cxr+ehr,target_cv,2,533,70,0.8593489663684049,0.8569885837704412,0.002522637908410017,-0.006235693078316831,0.011178420999676158,"[0.13, 0.87]",0
death_30d,ecg+ehr,source,2,1645,152,0.8434470511509853,0.8568010364155534,-0.013277276343700128,-0.03522981778663341,0.007074641717743136,"[0.5, 0.5]",0
death_30d,ecg+ehr,target_cv,2,1645,152,0.8603901540522437,0.8568010364155534,0.0036114641019855146,-0.004920124672926579,0.0113177747615676,"[0.19, 0.81]",0
death_30d,ctpa+cxr+ehr,source,3,533,70,0.8406201789571119,0.8569885837704412,-0.01541901009245613,-0.06023190823018922,0.02992726025069128,"[0.33, 0.33, 0.33]",0
death_30d,ctpa+cxr+ehr,target_cv,3,533,70,0.8622955877815488,0.8569885837704412,0.005645540404682521,-0.016975540345937803,0.027042489643109135,"[0.24, 0.05, 0.71]",0
death_30d,ctpa+ecg+ehr,source,3,1645,152,0.8544435435541298,0.8568010364155534,-0.0022416299582618524,-0.02668774985283003,0.022479221886061117,"[0.33, 0.33, 0.33]",0
death_30d,ctpa+ecg+ehr,target_cv,3,1645,152,0.8631552508196144,0.8568010364155534,0.006407125538046833,-0.006070774477753593,0.01916559319904167,"[0.18, 0.17, 0.65]",0
death_30d,cxr+ecg+ehr,source,3,530,70,0.8501863354037267,0.8561801242236025,-0.005931718343030574,-0.045800616285705184,0.03472142924218234,"[0.33, 0.33, 0.33]",0
death_30d,cxr+ecg+ehr,target_cv,3,530,70,0.8637732919254658,0.8561801242236025,0.007399385611179648,-0.014426193539928652,0.03043974032955546,"[0.12, 0.25, 0.63]",0
death_30d,ctpa+cxr+ecg+ehr,source,4,530,70,0.8587888198757764,0.8561801242236025,0.00299340590391097,-0.03977159740684229,0.046362844743995046,"[0.25, 0.25, 0.25, 0.25]",0
death_30d,ctpa+cxr+ecg+ehr,target_cv,4,530,70,0.8653260869565218,0.8561801242236025,0.009262315786243291,-0.015511608459692083,0.03455509586094302,"[0.22, 0.02, 0.2, 0.56]",0
