direction,outcome,arch,n,ev,auc,ap,ehr_ref,ctpa_ref,gap,c_ehr,c_ctpa,gain,lo,hi,sig
I2M,death_30d,early:plain,1649,152,0.8556850543191648,0.397383289028829,0.8571045599971874,0.7455964560700348,0.1115081039271526,0.01,0.001,-0.0013408504287733742,-0.02207519442858568,0.01964543270369565,0
I2M,death_30d,early:blockstd,1649,152,0.8581505115494146,0.4009151665269468,0.8571045599971874,0.7455964560700348,0.1115081039271526,0.01,0.001,0.0011454677457057045,-0.018108170470169254,0.020589381113857143,0
I2M,death_30d,inter:plain,1649,152,0.8026359737017894,0.37165325570916896,0.8571045599971874,0.7455964560700348,0.1115081039271526,0.01,0.001,-0.05358741423342231,-0.09132181932146978,-0.016809290130897686,1
I2M,death_30d,inter:gated,1649,152,0.8217443659248321,0.3611841787837856,0.8571045599971874,0.7455964560700348,0.1115081039271526,0.01,0.001,-0.0348131225263938,-0.06854893145249759,-0.0027648055376470037,1
I2M,death_30d,inter:moddrop,1649,152,0.808270048869669,0.348796943247485,0.8571045599971874,0.7455964560700348,0.1115081039271526,0.01,0.001,-0.04804546070026543,-0.0845115568956372,-0.013285462827581897,1
I2M,death_30d,inter:lowrank,1649,152,0.8250492212495165,0.3542736190987763,0.8571045599971874,0.7455964560700348,0.1115081039271526,0.01,0.001,-0.03179042916581676,-0.058849301485743445,-0.003785997676161614,1
I2M,death_30d,inter:bilinear,1649,152,0.8092764476321064,0.3485593176867995,0.8571045599971874,0.7455964560700348,0.1115081039271526,0.01,0.001,-0.04739962512532691,-0.07798072656275759,-0.017116921943150624,1
I2M,death_30d,inter:tucker,1649,152,0.8323796716239497,0.3649491655138903,0.8571045599971874,0.7455964560700348,0.1115081039271526,0.01,0.001,-0.024472372184136525,-0.05213354840158851,0.0036305544190704904,0
I2M,death_30d,inter:crossattn,1649,152,0.803115001933692,0.3316491821985118,0.8571045599971874,0.7455964560700348,0.1115081039271526,0.01,0.001,-0.0533788636188122,-0.08947588493043196,-0.019089499085495922,1
I2M,death_30d,late:mean,1649,152,0.8486600393769996,0.3982737388988771,0.8571045599971874,0.7455964560700348,0.1115081039271526,0.01,0.001,-0.008340757911813695,-0.03221495591657419,0.015265450198945846,0
I2M,death_30d,late:wsrc,1649,152,0.8627364377878565,0.41743380657555196,0.8571045599971874,0.7455964560700348,0.1115081039271526,0.01,0.001,0.005704412132582647,-0.010548706364589804,0.021696922457944027,0
I2M,death_30d,uni:ehr_only,1649,152,0.8571045599971874,0.40071897077253643,0.8571045599971874,0.7455964560700348,0.1115081039271526,0.01,0.001,0.0,0.0,0.0,0
I2M,death_30d,uni:ctpa_only,1649,152,0.7455964560700348,0.23901584857077013,0.8571045599971874,0.7455964560700348,0.1115081039271526,0.01,0.001,-0.1113546691874556,-0.15758982627291626,-0.06488597652470753,1
I2M,composite_30d,early:plain,1649,219,0.8337803748762653,0.40386407399449337,0.8215154708305392,0.7093607305936074,0.11215474023693184,0.01,0.001,0.012145186035966461,0.0010969013001908836,0.023801526931290676,1
I2M,composite_30d,early:blockstd,1649,219,0.8338218858766804,0.4019245748523057,0.8215154708305392,0.7093607305936074,0.11215474023693184,0.01,0.001,0.012196434889609201,0.0019464295696177776,0.022973546616694356,1
I2M,composite_30d,inter:plain,1649,219,0.8221221700673754,0.3612359783473549,0.8215154708305392,0.7093607305936074,0.11215474023693184,0.01,0.001,0.000820786375374499,-0.020666335100621696,0.022047707865582626,0
I2M,composite_30d,inter:gated,1649,219,0.81189130504199,0.3826677976702229,0.8215154708305392,0.7093607305936074,0.11215474023693184,0.01,0.001,-0.009556089873198108,-0.030824695629151497,0.011859137701728072,0
I2M,composite_30d,inter:moddrop,1649,219,0.8226458473033815,0.3711048101697107,0.8215154708305392,0.7093607305936074,0.11215474023693184,0.01,0.001,0.0012314129751244082,-0.020595784726145726,0.02216876433226235,0
I2M,composite_30d,inter:lowrank,1649,219,0.8070856084554714,0.34634034131201635,0.8215154708305392,0.7093607305936074,0.11215474023693184,0.01,0.001,-0.014094732917363526,-0.0352069803509151,0.00785923750433609,0
I2M,composite_30d,inter:bilinear,1649,219,0.8196634415812497,0.376243781271495,0.8215154708305392,0.7093607305936074,0.11215474023693184,0.01,0.001,-0.0018314192970262403,-0.02290867239031414,0.01888412355197936,0
I2M,composite_30d,inter:tucker,1649,219,0.8174410064821023,0.38603352118848744,0.8215154708305392,0.7093607305936074,0.11215474023693184,0.01,0.001,-0.003793089935261114,-0.025798373911258388,0.018684555367073197,0
I2M,composite_30d,inter:crossattn,1649,219,0.8140594565252098,0.38892739036429946,0.8215154708305392,0.7093607305936074,0.11215474023693184,0.01,0.001,-0.0073308049354962,-0.0317283457269234,0.016300836744537434,0
I2M,composite_30d,late:mean,1649,219,0.8124421240859597,0.38883766187771235,0.8215154708305392,0.7093607305936074,0.11215474023693184,0.01,0.001,-0.009069043262575821,-0.029854584514735424,0.01140320102898951,0
I2M,composite_30d,late:wsrc,1649,219,0.8316233994316184,0.4090653058400182,0.8215154708305392,0.7093607305936074,0.11215474023693184,0.01,0.001,0.010069870868869324,0.000883314262594609,0.019726301954243294,1
I2M,composite_30d,uni:ehr_only,1649,219,0.8215154708305392,0.3769244276870278,0.8215154708305392,0.7093607305936074,0.11215474023693184,0.01,0.001,0.0,0.0,0.0,0
I2M,composite_30d,uni:ctpa_only,1649,219,0.7093607305936074,0.278362137260468,0.8215154708305392,0.7093607305936074,0.11215474023693184,0.01,0.001,-0.11217026242324661,-0.15113568055585208,-0.07355767203095043,1
I2M,cv_first,early:plain,1506,76,0.8107655502392344,0.18780230612162718,0.8048306956201693,0.6284228928965772,0.17640780272359213,0.01,0.001,0.006010094393813987,-0.009755512498080734,0.023058665220520864,0
I2M,cv_first,early:blockstd,1506,76,0.8105171144644829,0.18740689542752798,0.8048306956201693,0.6284228928965772,0.17640780272359213,0.01,0.001,0.005759690525691812,-0.009203658248781315,0.022080863530326282,0
I2M,cv_first,inter:plain,1506,76,0.788755980861244,0.1591952935384804,0.8048306956201693,0.6284228928965772,0.17640780272359213,0.01,0.001,-0.015836138417262238,-0.047655579477017714,0.01662900303462667,0
I2M,cv_first,inter:gated,1506,76,0.7894368789105631,0.15948041131603968,0.8048306956201693,0.6284228928965772,0.17640780272359213,0.01,0.001,-0.015031655174798247,-0.04394619703190245,0.013191512455477969,0
I2M,cv_first,inter:moddrop,1506,76,0.8048675009201326,0.17069050701751057,0.8048306956201693,0.6284228928965772,0.17640780272359213,0.01,0.001,0.00015126957263467705,-0.02885427315629952,0.031172590667067557,0
I2M,cv_first,inter:lowrank,1506,76,0.7769874861980126,0.16239442564976148,0.8048306956201693,0.6284228928965772,0.17640780272359213,0.01,0.001,-0.0278026817533612,-0.05907868451127731,0.0038792391126176162,0
I2M,cv_first,inter:bilinear,1506,76,0.7711078395288921,0.17336483876791353,0.8048306956201693,0.6284228928965772,0.17640780272359213,0.01,0.001,-0.03369117495985014,-0.076216729956047,0.007447236719556009,0
I2M,cv_first,inter:tucker,1506,76,0.794976076555024,0.19835183393982012,0.8048306956201693,0.6284228928965772,0.17640780272359213,0.01,0.001,-0.009848494722081401,-0.03852099588313099,0.02015841872424008,0
I2M,cv_first,inter:crossattn,1506,76,0.7916267942583732,0.1550486821119622,0.8048306956201693,0.6284228928965772,0.17640780272359213,0.01,0.001,-0.01275960278409012,-0.05157843989132948,0.024963316520111453,0
I2M,cv_first,late:mean,1506,76,0.7649475524475524,0.15703710367574492,0.8048306956201693,0.6284228928965772,0.17640780272359213,0.01,0.001,-0.03962186516401735,-0.0780970106142313,-0.002086997527062348,1
I2M,cv_first,late:wsrc,1506,76,0.805783032756717,0.1826324390493611,0.8048306956201693,0.6284228928965772,0.17640780272359213,0.01,0.001,0.0009778569812174205,-0.008566414077103433,0.010855753100670149,0
I2M,cv_first,uni:ehr_only,1506,76,0.8048306956201693,0.18015268099801632,0.8048306956201693,0.6284228928965772,0.17640780272359213,0.01,0.001,0.0,0.0,0.0,0
I2M,cv_first,uni:ctpa_only,1506,76,0.6284228928965772,0.09587338801204019,0.8048306956201693,0.6284228928965772,0.17640780272359213,0.01,0.001,-0.1760369507446021,-0.2474798636291103,-0.10186446657491324,1
M2I,death_30d,early:plain,3300,246,0.7832257841242459,0.21504029744152892,0.7719883559346399,0.7158218463324123,0.05616650960222758,0.03,0.01,0.01142566934216541,-0.003952322625445623,0.027839433867366592,0
M2I,death_30d,early:blockstd,3300,246,0.7833535653627657,0.2169420871242081,0.7719883559346399,0.7158218463324123,0.05616650960222758,0.03,0.01,0.011529225419232837,-0.0019922963089786775,0.02635050399791493,0
M2I,death_30d,inter:plain,3300,246,0.7684124778379414,0.19215733818732408,0.7719883559346399,0.7158218463324123,0.05616650960222758,0.03,0.01,-0.003454683393535012,-0.025218274934170268,0.017841349603552697,0
M2I,death_30d,inter:gated,3300,246,0.7529083542308901,0.18761402766768648,0.7719883559346399,0.7158218463324123,0.05616650960222758,0.03,0.01,-0.019019161847503768,-0.045575849755768935,0.0062367099221965205,0
M2I,death_30d,inter:moddrop,3300,246,0.7531426198348429,0.20126374273686304,0.7719883559346399,0.7158218463324123,0.05616650960222758,0.03,0.01,-0.01880846909271565,-0.04507273082693097,0.007017188074499211,0
M2I,death_30d,inter:lowrank,3300,246,0.7565674232380831,0.1951077590668963,0.7719883559346399,0.7158218463324123,0.05616650960222758,0.03,0.01,-0.015378002788133447,-0.041237371509099015,0.009298180254182923,0
