outcome,test,mode,learner,reg,k,mean,sd,lo,hi,vs_late,sig
cv_first,ablation,cca,rf,0.1,10.0,0.7976223128243143,0.009138302984296682,0.7880467012601927,0.8147887323943663,-0.008745366938472943,
cv_first,ablation,cca,gb,0.1,10.0,0.7599332839140105,0.009737364439888983,0.7463028169014085,0.7737305411415863,-0.04643439584877673,
cv_first,ablation,cca,catboost,0.1,10.0,0.7824675685693107,0.017640225560417562,0.7557357301704967,0.8095626389918458,-0.02390011119347657,
cv_first,ablation,cca,l2,0.1,10.0,0.7866994069681245,0.01686493295231243,0.748767605633803,0.8055689399555226,-0.019668272794662767,
cv_first,ablation,ccaaug,rf,0.1,10.0,0.8149499629355079,0.004407182605690729,0.8043458117123795,0.8205893254262416,0.008582283172720695,
cv_first,ablation,ccaaug,gb,0.1,10.0,0.7842967012601927,0.010630274754847133,0.7565882134914751,0.7930874722016308,-0.02207097850259454,
cv_first,ablation,ccaaug,catboost,0.1,10.0,0.7946034099332839,0.006531542846080523,0.7853224610822831,0.8094421793921422,-0.011764269829503293,
cv_first,ablation,ccaaug,l2,0.1,10.0,0.7819458858413639,0.01691868171121453,0.75470719051149,0.808274647887324,-0.024421793921423296,
cv_first,ablation,ccaaug_shuf,rf,0.1,10.0,0.795648628613788,0.00979921727476663,0.7801704966641957,0.8076074870274278,-0.010719051148999181,
cv_first,ablation,ccaaug_shuf,gb,0.1,10.0,0.7661906968124537,0.015495278444619157,0.73765752409192,0.7864899925871015,-0.04017698295033356,
cv_first,ablation,ccaaug_shuf,catboost,0.1,10.0,0.7846256486286138,0.015645964431489207,0.7562546330615271,0.8026130467012602,-0.02174203113417339,
cv_first,ablation,ccaaug_shuf,l2,0.1,10.0,0.7836721645663454,0.013037441686280264,0.7616382505559673,0.8064121571534469,-0.022695515196441862,
cv_first,boot,ccaaug,rf,0.1,10.0,-0.0016591607975055367,,-0.020578205003945554,0.016561295715977767,-0.0016591607975055367,0.0
