outcome,arm,mean_all,sd_all,mean_cc,mean_noct,vs_late2,lo,hi,sig
death_30d,complete,0.885747091786069,0.008004204826784649,0.885747091786069,,-0.0026102993332386415,,,
death_30d,ehr_ecg,0.8915621997455141,0.002773539472084852,0.8960082990495106,0.8865880574452003,0.007650907930202955,,,
death_30d,nan_ind,0.862238859747072,0.005640759782748252,0.8800698680663924,0.8487916351725875,-0.008287523052915247,,,
death_30d,masked,0.8682434625671922,0.0052513487772621594,0.8926248404028939,0.8647548500881834,0.004267449283586244,,,
death_30d,ps_platt,0.8051717617959436,0.021043243492062443,0.7677108455100015,0.8482688334593098,-0.12064654560930621,,,
death_30d,ps_rank,0.8812884650341479,0.004585839371128125,0.8860525429138884,0.8805154950869237,-0.0023048482054193187,,,
death_30d,ccs_platt,0.8065739502453972,0.01892598066303963,0.7677108455100015,0.8719959687578734,-0.12064654560930621,,,
death_30d,ccs_rank,0.8851471409280947,0.0036223802478005888,0.8860525429138884,0.886901738473167,-0.0023048482054193187,,,
death_30d,ccs_vs_ehrecg,-0.10340028727610195,,,,,-0.12977266534694268,-0.0796713095002377,1.0
death_30d_inhosp,complete,0.903666436512308,0.0060606075049054915,0.903666436512308,,0.030870681696522073,,,
death_30d_inhosp,ehr_ecg,0.9051009410684715,0.0030451504962744364,0.9130086346674527,0.8950216402338768,0.04021287985166677,,,
death_30d_inhosp,nan_ind,0.887693076261795,0.004775169708207566,0.8985205470950124,0.8763520537945985,0.025724792279226416,,,
death_30d_inhosp,masked,0.8882195268537985,0.0043297802644180015,0.9086230304346815,0.8819335383072693,0.03582727561889554,,,
death_30d_inhosp,ps_platt,0.8087194013272845,0.025623396147018557,0.8499670284486303,0.854175053639762,-0.022828726367155716,,,
death_30d_inhosp,ps_rank,0.8974537136828973,0.0009459233091268568,0.9057835980108457,0.8957493714378405,0.03298784319505976,,,
death_30d_inhosp,ccs_platt,0.8710062915410346,0.01910147700578536,0.8499670284486303,0.8877701342653012,-0.022828726367155716,,,
death_30d_inhosp,ccs_rank,0.8972460243597515,0.0025001293032728736,0.9057835980108457,0.8954935226761632,0.03298784319505976,,,
death_30d_inhosp,ccs_vs_ehrecg,-0.010883665188189904,,,,,-0.023005014994386674,-0.0006509853679713946,1.0
composite_30d,complete,0.8461548128885065,0.005046539170097581,0.8461548128885065,,-0.003840192315748392,,,
composite_30d,ehr_ecg,0.8442926828060735,0.0016916878974241336,0.8542447707710998,0.8346283542536141,0.004249765566844976,,,
composite_30d,nan_ind,0.8239647786473643,0.004155227899833438,0.8447507919168092,0.8056730723455576,-0.00524421328744562,,,
composite_30d,masked,0.8227183665689258,0.004303615469185601,0.8496843611333997,0.8113092498849517,-0.00031064407085512613,,,
composite_30d,ps_platt,0.7914835521877812,0.01803242208764568,0.767552195615536,0.8295253661710333,-0.08244280958871886,,,
composite_30d,ps_rank,0.8390857870652875,0.002184039155043472,0.8438230488877716,0.8377370392116413,-0.0061719563164832625,,,
composite_30d,ccs_platt,0.7635293884659229,0.020043322948326035,0.767552195615536,0.7887026516654235,-0.08244280958871886,,,
composite_30d,ccs_rank,0.8373914959296662,0.0021930272571083183,0.8438230488877716,0.8348225478839044,-0.0061719563164832625,,,
composite_30d,ccs_vs_ehrecg,-0.07571751313368881,,,,,-0.09584821652682912,-0.05574346343289222,1.0
cv_first,complete,0.7854148868996769,0.009935124002655019,0.7854148868996769,,-0.035333172380492495,,,
cv_first,ehr_ecg,0.7864946623419564,0.005180001509604157,0.7887698250566431,0.7843404359141184,-0.0319782342235263,,,
cv_first,nan_ind,0.7891597518540096,0.006299715687781359,0.7959885599673142,0.7873874972890913,-0.02475949931285515,,,
cv_first,masked,0.7834237376202549,0.004169963431772059,0.7989952828436653,0.7881817935371938,-0.021752776436504084,,,
cv_first,ps_platt,0.69043945143361,0.03125455330548924,0.7482440664116184,0.7135633539362395,-0.07250399286855091,,,
cv_first,ps_rank,0.776334020878273,0.006363226085155301,0.7897652564721612,0.7657761331598352,-0.030982802808008136,,,
cv_first,ccs_platt,0.6906744500952591,0.01434617413340508,0.7482440664116184,0.7804089405768814,-0.07250399286855091,,,
cv_first,ccs_rank,0.7885269874509928,0.0054778801502128795,0.7897652564721612,0.7877168726957277,-0.030982802808008136,,,
cv_first,ccs_vs_ehrecg,-0.10162792388369371,,,,,-0.14089032856498895,-0.06357446785381303,1.0
