outcome,test,mtry,k,leaf,depth,prod,mean,sd,vs_late,lo,hi,brier,slope,intercept
death_30d,mtry_k,0.4,30.0,10.0,6.0,0,0.8957854033200014,0.002926634370121057,0.01647391427459033,,,,,
death_30d,mtry_k,0.6,5.0,10.0,6.0,0,0.8985797968357343,0.003504268568831972,0.01926830779032318,,,,,
death_30d,mtry_k,0.6,10.0,10.0,6.0,0,0.9009105227763424,0.003962252838424706,0.021599033730931305,,,,,
death_30d,mtry_k,0.6,20.0,10.0,6.0,0,0.8982718649346971,0.004129218444624379,0.018960375889286007,,,,,
death_30d,mtry_k,0.6,30.0,10.0,6.0,0,0.8961420026191907,0.0036360022146439386,0.016830513573779626,,,,,
death_30d,mtry_k,1.0,5.0,10.0,6.0,0,0.8968198067461861,0.0034976777065697,0.01750831770077499,,,,,
death_30d,mtry_k,1.0,10.0,10.0,6.0,0,0.8982347007397445,0.0036228236884004255,0.01892321169433342,,,,,
death_30d,mtry_k,1.0,20.0,10.0,6.0,0,0.8951721941032812,0.004117006191965433,0.015860705057870073,,,,,
death_30d,mtry_k,1.0,30.0,10.0,6.0,0,0.893580327752805,0.00470694759529959,0.014268838707393927,,,,,
death_30d,leaf_depth,0.6,10.0,5.0,4.0,0,0.8942970657983225,0.002468836927089742,0.014985576752911345,,,,,
death_30d,leaf_depth,0.6,10.0,5.0,6.0,0,0.9002327186493471,0.0033308617689133424,0.020921229603935942,,,,,
death_30d,leaf_depth,0.6,10.0,5.0,8.0,0,0.9017617598131172,0.003054033504104547,0.022450270767706115,,,,,
death_30d,leaf_depth,0.6,10.0,5.0,12.0,0,0.9034164513502991,0.002394222448628481,0.02410496230488801,,,,,
death_30d,leaf_depth,0.6,10.0,5.0,-1.0,0,0.9036801401621066,0.0018202781237998625,0.024368651116695506,,,,,
death_30d,leaf_depth,0.6,10.0,10.0,4.0,0,0.8957880579053551,0.003096419855000602,0.016476568859943974,,,,,
death_30d,leaf_depth,0.6,10.0,10.0,6.0,0,0.9009105227763424,0.003962252838424706,0.021599033730931305,,,,,
death_30d,leaf_depth,0.6,10.0,10.0,8.0,0,0.9022041907054117,0.0032306202569274338,0.02289270166000057,,,,,
death_30d,leaf_depth,0.6,10.0,10.0,12.0,0,0.9028041269953633,0.0029322866318718128,0.023492637949952155,,,,,
death_30d,leaf_depth,0.6,10.0,10.0,-1.0,0,0.9027997026864403,0.00291384428091609,0.023488213641029154,,,,,
death_30d,leaf_depth,0.6,10.0,25.0,4.0,0,0.8927857218702439,0.004581912879611489,0.013474232824832733,,,,,
death_30d,leaf_depth,0.6,10.0,25.0,6.0,0,0.895613740133791,0.00426186056616231,0.016302251088379904,,,,,
death_30d,leaf_depth,0.6,10.0,25.0,8.0,0,0.8958048702792624,0.004308002101690744,0.016493381233851245,,,,,
death_30d,leaf_depth,0.6,10.0,25.0,12.0,0,0.8958190280678158,0.004286387758186619,0.01650753902240465,,,,,
death_30d,leaf_depth,0.6,10.0,25.0,-1.0,0,0.8958190280678158,0.004286387758186619,0.01650753902240465,,,,,
death_30d,leaf_depth,0.6,10.0,50.0,4.0,0,0.8830416238983471,0.002931398654557485,0.00373013485293594,,,,,
death_30d,leaf_depth,0.6,10.0,50.0,6.0,0,0.8836813789686051,0.002640284705396243,0.004369889923193981,,,,,
death_30d,leaf_depth,0.6,10.0,50.0,8.0,0,0.8836981913425124,0.002641770010605648,0.004386702297101253,,,,,
