outcome,stage,method,mean,sd,vs_late,na,nb,leaf,depth,k,reg,ntree,lo,hi,slope,slope_platt,brier,brier_platt,vs_per_outcome
death_30d_inhosp,A,block,0.909948293219793,0.002156914879368074,0.037999284879253525,20.0,16.0,,,,,,,,,,,,
death_30d_inhosp,A,block,0.9074664184876464,0.0035964244511016005,0.035517410147106965,20.0,24.0,,,,,,,,,,,,
death_30d_inhosp,A,block,0.9072985426244932,0.0049607092394998,0.03534953428395371,20.0,32.0,,,,,,,,,,,,
death_30d_inhosp,A,block,0.9099832884903598,0.005465479909497697,0.038034280149820354,28.0,8.0,,,,,,,,,,,,
death_30d_inhosp,A,block,0.9086973390914922,0.004144980143078874,0.03674833075095274,28.0,16.0,,,,,,,,,,,,
death_30d_inhosp,A,block,0.9068694701766755,0.0026574379271147174,0.03492046183613606,28.0,24.0,,,,,,,,,,,,
death_30d_inhosp,A,block,0.9051899507783912,0.004498788054205362,0.033240942437851695,28.0,32.0,,,,,,,,,,,,
death_30d_inhosp,A,block,0.9034178714253471,0.0037461470958829327,0.031468863084807674,38.0,8.0,,,,,,,,,,,,
death_30d_inhosp,A,block,0.9032816941768376,0.003438924789202765,0.03133268583629811,38.0,16.0,,,,,,,,,,,,
death_30d_inhosp,A,block,0.9024877072772413,0.0031051648570691683,0.030538698936701802,38.0,24.0,,,,,,,,,,,,
death_30d_inhosp,A,block,0.9029967870284198,0.0037414851377006323,0.031047778687880334,38.0,32.0,,,,,,,,,,,,
death_30d_inhosp,B,block,0.9065159672261685,0.003506305534341247,0.034566958885628996,14.0,8.0,1.0,6.0,,,,,,,,,,
death_30d_inhosp,B,block,0.9079768929778693,0.003841803319720397,0.036027884637329866,14.0,8.0,1.0,12.0,,,,,,,,,,
death_30d_inhosp,B,block,0.9085851259956537,0.003998453536004846,0.03663611765511421,14.0,8.0,1.0,-1.0,,,,,,,,,,
death_30d_inhosp,B,block,0.9070233986493855,0.003714167309273831,0.03507439030884607,14.0,8.0,2.0,6.0,,,,,,,,,,
death_30d_inhosp,B,block,0.9095060341482837,0.003336879013663159,0.037557025807744226,14.0,8.0,2.0,12.0,,,,,,,,,,
death_30d_inhosp,B,block,0.9101819754069469,0.0038121253195439425,0.03823296706640744,14.0,8.0,2.0,-1.0,,,,,,,,,,
death_30d_inhosp,B,block,0.9082010655806299,0.0036053114583240657,0.036252057240090396,14.0,8.0,5.0,6.0,,,,,,,,,,
death_30d_inhosp,B,block,0.9122922155810104,0.003317274352694626,0.04034320724047091,14.0,8.0,5.0,12.0,,,,,,,,,,
death_30d_inhosp,B,block,0.9128833313468869,0.003208152879717382,0.04093432300634747,14.0,8.0,5.0,-1.0,,,,,,,,,,
death_30d_inhosp,B,block,0.9092407801409447,0.0030193129158724453,0.037291771800405216,14.0,8.0,10.0,6.0,,,,,,,,,,
death_30d_inhosp,B,block,0.9129391209086597,0.00293481695149494,0.04099011256812024,14.0,8.0,10.0,12.0,,,,,,,,,,
death_30d_inhosp,B,block,0.9128541686214146,0.002903873392181936,0.0409051602808751,14.0,8.0,10.0,-1.0,,,,,,,,,,
death_30d_inhosp,B,block,0.9099630013769877,0.0038631659606820057,0.03801399303644826,14.0,8.0,25.0,6.0,,,,,,,,,,
death_30d_inhosp,B,block,0.9112220703506372,0.0037351244091454877,0.039273062010097726,14.0,8.0,25.0,12.0,,,,,,,,,,
death_30d_inhosp,B,block,0.9112119267939514,0.003760725287182089,0.0392629184534119,14.0,8.0,25.0,-1.0,,,,,,,,,,
death_30d_inhosp,C,cca_k,0.91503452613107,0.0019328484633064464,0.04308551779053049,14.0,8.0,10.0,12.0,5.0,,,,,,,,,
death_30d_inhosp,C,cca_k,0.9129391209086597,0.00293481695149494,0.04099011256812024,14.0,8.0,10.0,12.0,10.0,,,,,,,,,
death_30d_inhosp,C,cca_k,0.9141053763386326,0.0016295005518557077,0.04215636799809319,14.0,8.0,10.0,12.0,20.0,,,,,,,,,
death_30d_inhosp,C,cca_k,0.9133357339750823,0.001605429005537821,0.04138672563454282,14.0,8.0,10.0,12.0,30.0,,,,,,,,,
death_30d_inhosp,C,cca_reg,0.9154237851188952,0.002536820717780373,0.04347477677835576,14.0,8.0,10.0,12.0,5.0,0.01,,,,,,,,
death_30d_inhosp,C,cca_reg,0.91503452613107,0.0019328484633064464,0.04308551779053049,14.0,8.0,10.0,12.0,5.0,0.1,,,,,,,,
death_30d_inhosp,C,cca_reg,0.9150555740111935,0.0031314318618892944,0.04310656567065407,14.0,8.0,10.0,12.0,5.0,0.5,,,,,,,,
death_30d_inhosp,D,ntree,0.9144137404618868,0.003167220122892062,0.04246473212134738,14.0,8.0,10.0,12.0,5.0,0.01,150.0,,,,,,,
death_30d_inhosp,D,ntree,0.9154237851188952,0.002536820717780373,0.04347477677835576,14.0,8.0,10.0,12.0,5.0,0.01,300.0,,,,,,,
death_30d_inhosp,D,ntree,0.9162426237323723,0.002395996540423727,0.04429361539183285,14.0,8.0,10.0,12.0,5.0,0.01,600.0,,,,,,,
death_30d_inhosp,E,final,0.9155191345517435,0.0021403169011329835,0.04357012621120404,14.0,8.0,10.0,12.0,5.0,0.01,600.0,0.9117409132751264,0.9199077443519409,1.7125003840966908,0.9876564616653596,0.05093133853563201,0.04412650077891891,
composite_30d,ref,late_wsrc,0.8420562581149843,,0.0,,,,,,,,,,,,,,
composite_30d,A,block,0.8490862326545112,0.0029474635546345544,0.0070299745395269175,14.0,8.0,,,,,,,,,,,,
composite_30d,A,block,0.8465198862757282,0.0011554826095280034,0.00446362816074386,14.0,16.0,,,,,,,,,,,,
composite_30d,A,block,0.8452253258061762,0.0029822056545766576,0.0031690676911918514,14.0,24.0,,,,,,,,,,,,
composite_30d,A,block,0.8425391654361392,0.0025863185609085273,0.00048290732115485735,14.0,32.0,,,,,,,,,,,,
composite_30d,A,block,0.8514129510507861,0.0013197432765177722,0.00935669293580177,20.0,8.0,,,,,,,,,,,,
composite_30d,A,block,0.8494547101875313,0.002128952709794283,0.007398452072546968,20.0,16.0,,,,,,,,,,,,
composite_30d,A,block,0.8492757318493561,0.002681503896134562,0.007219473734371817,20.0,24.0,,,,,,,,,,,,
composite_30d,A,block,0.8473860622166332,0.0018482679050444539,0.0053298041016488495,20.0,32.0,,,,,,,,,,,,
composite_30d,A,block,0.8491309153516629,0.001990373340460768,0.00707465723667855,28.0,8.0,,,,,,,,,,,,
composite_30d,A,block,0.8500847238398899,0.0016229343753735165,0.008028465724905565,28.0,16.0,,,,,,,,,,,,
composite_30d,A,block,0.8493191767986643,0.0014209193219919378,0.007262918683680009,28.0,24.0,,,,,,,,,,,,
composite_30d,A,block,0.8492540712620942,0.002910744953598812,0.007197813147109877,28.0,32.0,,,,,,,,,,,,
composite_30d,A,block,0.8435589458844264,0.0023417720051238265,0.0015026877694420682,38.0,8.0,,,,,,,,,,,,
composite_30d,A,block,0.844551372105372,0.00205674121005023,0.0024951139903877095,38.0,16.0,,,,,,,,,,,,
composite_30d,A,block,0.8449126707008994,0.00207185624005272,0.002856412585915069,38.0,24.0,,,,,,,,,,,,
composite_30d,A,block,0.8451504420616424,0.002365105918389198,0.003094183946658058,38.0,32.0,,,,,,,,,,,,
composite_30d,B,block,0.8475175110376163,0.0022594855927799114,0.005461252922631998,20.0,8.0,1.0,6.0,,,,,,,,,,
composite_30d,B,block,0.8471497761533024,0.0014920409419323037,0.0050935180383181455,20.0,8.0,1.0,12.0,,,,,,,,,,
composite_30d,B,block,0.8460202693586858,0.0011564389242893214,0.003964011243701493,20.0,8.0,1.0,-1.0,,,,,,,,,,
composite_30d,B,block,0.8479108673022914,0.0024087316244849944,0.005854609187307069,20.0,8.0,2.0,6.0,,,,,,,,,,
composite_30d,B,block,0.84895626913094,0.0015507521760112903,0.00690001101595572,20.0,8.0,2.0,12.0,,,,,,,,,,
composite_30d,B,block,0.8494008062689453,0.0020060077716668938,0.007344548153961017,20.0,8.0,2.0,-1.0,,,,,,,,,,
composite_30d,B,block,0.8487633042421333,0.0023067086953347513,0.006707046127149008,20.0,8.0,5.0,6.0,,,,,,,,,,
composite_30d,B,block,0.8514129510507861,0.0013197432765177722,0.00935669293580177,20.0,8.0,5.0,12.0,,,,,,,,,,
composite_30d,B,block,0.8514221103848282,0.0014472233609292623,0.009365852269843877,20.0,8.0,5.0,-1.0,,,,,,,,,,
composite_30d,B,block,0.8495137507596677,0.0021808346294724047,0.007457492644683428,20.0,8.0,10.0,6.0,,,,,,,,,,
composite_30d,B,block,0.8522382813128543,0.0015863094381006525,0.010182023197869983,20.0,8.0,10.0,12.0,,,,,,,,,,
composite_30d,B,block,0.8525621999235072,0.0013619885742865035,0.010505941808522934,20.0,8.0,10.0,-1.0,,,,,,,,,,
composite_30d,B,block,0.8504309219117264,0.002026977652333738,0.008374663796742121,20.0,8.0,25.0,6.0,,,,,,,,,,
composite_30d,B,block,0.8516851318015792,0.002401399461652245,0.00962887368659493,20.0,8.0,25.0,12.0,,,,,,,,,,
composite_30d,B,block,0.8516846367024418,0.0024432307141068377,0.009628378587457465,20.0,8.0,25.0,-1.0,,,,,,,,,,
