outcome,sparse_k,measure,temp,amp,mean,sd,vs_pool,spread
death_30d_inhosp,,pool,,,0.906356139302865,0.0035272584955399547,0.0025561393028649126,
death_30d_inhosp,,block,,,0.9060287511927942,0.0055618897898588055,0.0022287511927941983,
death_30d_inhosp,1.0,tcp,1.0,0.0,0.9065128511470221,0.003559628393225944,0.002712851147022022,0.10646162987182847
death_30d_inhosp,1.0,tcp,1.0,0.1,0.9065128511470221,0.003559628393225944,0.002712851147022022,0.10646162987182847
death_30d_inhosp,1.0,tcp,1.0,0.25,0.9065128511470221,0.003559628393225944,0.002712851147022022,0.10646162987182847
death_30d_inhosp,1.0,tcp,2.0,0.0,0.9066742177984313,0.0038077007754257265,0.0028742177984312223,0.10646162987182847
death_30d_inhosp,1.0,tcp,2.0,0.1,0.9066742177984313,0.0038077007754257265,0.0028742177984312223,0.10646162987182847
death_30d_inhosp,1.0,tcp,2.0,0.25,0.9066742177984313,0.0038077007754257265,0.0028742177984312223,0.10646162987182847
death_30d_inhosp,1.0,tcp,5.0,0.0,0.9010387978184469,0.006181704567119334,-0.0027612021815531795,0.10646162987182847
death_30d_inhosp,1.0,tcp,5.0,0.1,0.9010372462160294,0.006181208971053883,-0.0027627537839706173,0.10646162987182847
death_30d_inhosp,1.0,tcp,5.0,0.25,0.9010372462160294,0.006181208971053883,-0.0027627537839706173,0.10646162987182847
death_30d_inhosp,1.0,tcp,10.0,0.0,0.8842721820960596,0.009131128154611385,-0.019527817903940425,0.10646162987182847
death_30d_inhosp,1.0,tcp,10.0,0.1,0.8842721820960596,0.009131128154611385,-0.019527817903940425,0.10646162987182847
death_30d_inhosp,1.0,tcp,10.0,0.25,0.8842721820960596,0.009131128154611385,-0.019527817903940425,0.10646162987182847
death_30d_inhosp,1.0,tcp,20.0,0.0,0.8757569880293874,0.00971521886900506,-0.028043011970612652,0.10646162987182847
death_30d_inhosp,1.0,tcp,20.0,0.1,0.8757569880293874,0.00971521886900506,-0.028043011970612652,0.10646162987182847
death_30d_inhosp,1.0,tcp,20.0,0.25,0.8757569880293874,0.00971521886900506,-0.028043011970612652,0.10646162987182847
death_30d_inhosp,1.0,tcp,-1.0,0.0,0.5747515496629144,0.022154351956031024,-0.32904845033708563,0.10646162987182847
death_30d_inhosp,1.0,tcp,-1.0,0.1,0.5747515496629144,0.022154351956031024,-0.32904845033708563,0.10646162987182847
death_30d_inhosp,1.0,tcp,-1.0,0.25,0.5747515496629144,0.022154351956031024,-0.32904845033708563,0.10646162987182847
death_30d_inhosp,1.0,err,1.0,0.0,0.9065128511470221,0.003559628393225944,0.002712851147022022,0.10646162987182847
death_30d_inhosp,1.0,err,1.0,0.1,0.9065128511470221,0.003559628393225944,0.002712851147022022,0.10646162987182847
death_30d_inhosp,1.0,err,1.0,0.25,0.9065128511470221,0.003559628393225944,0.002712851147022022,0.10646162987182847
death_30d_inhosp,1.0,err,2.0,0.0,0.9066742177984313,0.0038077007754257265,0.0028742177984312223,0.10646162987182847
death_30d_inhosp,1.0,err,2.0,0.1,0.9066742177984313,0.0038077007754257265,0.0028742177984312223,0.10646162987182847
death_30d_inhosp,1.0,err,2.0,0.25,0.9066742177984313,0.0038077007754257265,0.0028742177984312223,0.10646162987182847
death_30d_inhosp,1.0,err,5.0,0.0,0.9010387978184469,0.006181704567119334,-0.0027612021815531795,0.10646162987182847
death_30d_inhosp,1.0,err,5.0,0.1,0.9010372462160294,0.006181208971053883,-0.0027627537839706173,0.10646162987182847
death_30d_inhosp,1.0,err,5.0,0.25,0.9010372462160294,0.006181208971053883,-0.0027627537839706173,0.10646162987182847
death_30d_inhosp,1.0,err,10.0,0.0,0.8842721820960596,0.009131128154611385,-0.019527817903940425,0.10646162987182847
death_30d_inhosp,1.0,err,10.0,0.1,0.8842721820960596,0.009131128154611385,-0.019527817903940425,0.10646162987182847
death_30d_inhosp,1.0,err,10.0,0.25,0.8842721820960596,0.009131128154611385,-0.019527817903940425,0.10646162987182847
death_30d_inhosp,1.0,err,20.0,0.0,0.8757569880293874,0.00971521886900506,-0.028043011970612652,0.10646162987182847
death_30d_inhosp,1.0,err,20.0,0.1,0.8757569880293874,0.00971521886900506,-0.028043011970612652,0.10646162987182847
death_30d_inhosp,1.0,err,20.0,0.25,0.8757569880293874,0.00971521886900506,-0.028043011970612652,0.10646162987182847
death_30d_inhosp,1.0,err,-1.0,0.0,0.5747515496629144,0.022154351956031024,-0.32904845033708563,0.10646162987182847
death_30d_inhosp,1.0,err,-1.0,0.1,0.5747515496629144,0.022154351956031024,-0.32904845033708563,0.10646162987182847
death_30d_inhosp,1.0,err,-1.0,0.25,0.5747515496629144,0.022154351956031024,-0.32904845033708563,0.10646162987182847
death_30d_inhosp,1.0,tertile,1.0,0.0,0.9066509437621704,0.003650066776195731,0.0028509437621703215,0.07927594271897545
