outcome,stage,name,mean,sd,mixes,bins,drivers,vs_pool,vs_best
composite_30d,meta,grid,0.8573969702535745,,,,,,0.002237668493795142
composite_30d,meta,nnls,0.8549543540117878,,,,,,-0.00020494774799162396
composite_30d,meta,l2,0.8536041479361827,,,,,,-0.0015551538235967222
composite_30d,meta,l1,0.8531175581571461,,,,,,-0.002041743602633317
composite_30d,meta,enet,0.8542003009767241,,,,,,-0.0009590007830553304
composite_30d,meta,grid_ins,0.8607499283005127,,,,,,0.005590626540733279
cv_first,base,block,0.7888023251495004,0.006866519347047871,,,,,
cv_first,base,late,0.8216469189911972,0.0023996355795095543,,,,,
cv_first,base,pool_hand,0.7888803253723584,0.007262119000822426,,,,,
cv_first,base,pool_clust,0.7845819559484456,0.007833507997734286,,,,,
cv_first,comp,hand_b2_d1,0.7822642350406716,0.00953794440452961,hand,2.0,1.0,-0.0066160903316868636,
cv_first,comp,hand_b2_d2,0.7825558073023066,0.007696744938334945,hand,2.0,2.0,-0.006324518070051854,
cv_first,comp,hand_b3_d1,0.7821212346320989,0.009243500012206859,hand,3.0,1.0,-0.006759090740259488,
cv_first,comp,hand_b3_d2,0.7830758087880252,0.009458271173470723,hand,3.0,2.0,-0.00580451658433323,
cv_first,comp,hand_b4_d1,0.7816068045908702,0.009585393233709156,hand,4.0,1.0,-0.007273520781488241,
cv_first,comp,hand_b4_d2,0.7811536604390298,0.008948200174916215,hand,4.0,2.0,-0.007726664933328631,
cv_first,comp,clust_b2_d1,0.7848345280986517,0.007913607745622785,clust,2.0,1.0,0.0002525721502061318,
cv_first,comp,clust_b2_d2,0.7848308138023252,0.007923387209089597,clust,2.0,2.0,0.0002488578538796249,
cv_first,comp,clust_b3_d1,0.7849199569141626,0.007937694361345251,clust,3.0,1.0,0.0003380009657170113,
cv_first,comp,clust_b3_d2,0.7849348140994689,0.007945459583253416,clust,3.0,2.0,0.0003528581510232609,
cv_first,comp,clust_b4_d1,0.7847750993574267,0.007918521309613354,clust,4.0,1.0,0.00019314340898113347,
cv_first,comp,clust_b4_d2,0.7847918136908963,0.007935178698979126,clust,4.0,2.0,0.0002098577424507475,
cv_first,meta,mean,0.8097676707647737,,,,,,-0.0118792482264235
cv_first,meta,grid,0.8234269955057014,,,,,,0.0017800765145041808
cv_first,meta,nnls,0.8237334249526429,,,,,,0.0020865059614456616
cv_first,meta,l2,0.8125580358801026,,,,,,-0.009088883111094681
cv_first,meta,l1,0.7777457935594102,,,,,,-0.043901125431787036
cv_first,meta,enet,0.8129201797719422,,,,,,-0.008726739219255042
cv_first,meta,grid_ins,0.8276241503547153,,,,,,0.005977231363518021
