model,n,ev,auc,ref,diff,ap
native_1m_mortality,3136,250,0.6976072996072995,0.6976,7.299607299504629e-06,0.161310362019261
harm_death_30d,3300,246,0.6925514630064441,0.6926,-4.853699355589214e-05,0.13034890284339806
harm_composite_30d,3300,505,0.6331238597920614,0.6331,2.3859792061431406e-05,0.22605477582271144
harm_cv_first,3083,288,0.5703355860332605,0.5703,3.558603326048182e-05,0.12175792712745905
