outcome,direction,unit_drop,md_rate,batch_frac,miss,auc,sd,ehr,gain_vs_ehr
death_30d,I2M,0.8,0.0,0.4,0.0,0.8154481477575034,0.014341802371504966,0.8571045599971874,-0.04165641223968397
death_30d,I2M,0.8,0.1,0.4,0.0,0.8105685054319164,0.008333521710931742,0.8571045599971874,-0.04653605456527099
death_30d,I2M,0.8,0.2,0.4,0.0,0.8140066683073751,0.006151648975908228,0.8571045599971874,-0.04309789168981226
death_30d,I2M,0.8,0.3,0.4,0.0,0.817951692859403,0.008936798760878665,0.8571045599971874,-0.03915286713778443
death_30d,I2M,0.8,0.5,0.4,0.0,0.8208507658592037,0.005133468852107943,0.8571045599971874,-0.036253794137983686
death_30d,I2M,0.8,0.7,0.4,0.0,0.8223186138358588,0.0038343453685116126,0.8571045599971874,-0.034785946161328574
death_30d,I2M,0.8,0.0,1.0,0.0,0.8181934043525647,0.009693704596994288,0.8571045599971874,-0.038911155644622664
death_30d,I2M,0.8,0.1,1.0,0.0,0.825523854726998,0.005746342653276414,0.8571045599971874,-0.03158070527018941
death_30d,I2M,0.8,0.2,1.0,0.0,0.8268598600710192,0.0034243259784824337,0.8571045599971874,-0.030244699926168184
death_30d,I2M,0.8,0.3,1.0,0.0,0.828773043162348,0.003458904396016725,0.8571045599971874,-0.028331516834839365
death_30d,I2M,0.8,0.5,1.0,0.0,0.8356112810416153,0.00864787211649759,0.8571045599971874,-0.02149327895557207
death_30d,I2M,0.8,0.7,1.0,0.0,0.8383257743557291,0.003793963773088451,0.8571045599971874,-0.018778785641458295
death_30d,I2M,0.2,0.0,0.4,0.0,0.7496638012867841,0.022294219155676,0.8571045599971874,-0.10744075871040326
death_30d,I2M,0.2,0.1,0.4,0.0,0.7204914214393701,0.025667475722709835,0.8571045599971874,-0.13661313855781732
death_30d,I2M,0.2,0.2,0.4,0.0,0.7291695965029475,0.011997740808990336,0.8571045599971874,-0.12793496349423983
death_30d,I2M,0.2,0.3,0.4,0.0,0.7294926109529,0.011891482185601198,0.8571045599971874,-0.1276119490442874
death_30d,I2M,0.2,0.5,0.4,0.0,0.7191268501916112,0.008921484615460938,0.8571045599971874,-0.13797770980557622
death_30d,I2M,0.2,0.7,0.4,0.0,0.7369300003515803,0.022935779970599382,0.8571045599971874,-0.12017455964560708
death_30d,I2M,0.2,0.0,1.0,0.0,0.7500725134479486,0.021589578645593424,0.8571045599971874,-0.10703204654923881
death_30d,I2M,0.2,0.1,1.0,0.0,0.7267414946852769,0.027362682759601922,0.8571045599971874,-0.13036306531191044
death_30d,I2M,0.2,0.2,1.0,0.0,0.7406596819369734,0.0073909060401757855,0.8571045599971874,-0.11644487806021397
death_30d,I2M,0.2,0.3,1.0,0.0,0.7527921339755533,0.01739352600968763,0.8571045599971874,-0.10431242602163404
death_30d,I2M,0.2,0.5,1.0,0.0,0.7539362350431859,0.03120949552362262,0.8571045599971874,-0.10316832495400152
death_30d,I2M,0.2,0.7,1.0,0.0,0.7732365315426174,0.023993736942541873,0.8571045599971874,-0.08386802845456998
death_30d,I2M,0.8,0.0,1.0,0.0,0.8190533113009645,0.008262804900495954,0.8571045599971874,-0.038051248696222895
death_30d,I2M,0.8,0.0,1.0,0.25,0.8106432162570756,0.012706171409525173,0.8571045599971874,-0.04646134374011179
death_30d,I2M,0.8,0.0,1.0,0.5,0.821176710145437,0.008012738433816323,0.8571045599971874,-0.03592784985175035
death_30d,I2M,0.8,0.0,1.0,0.75,0.824968650751796,0.02292728106090174,0.8571045599971874,-0.032135909245391336
death_30d,I2M,0.8,0.2,1.0,0.0,0.8254755124283655,0.0035984532593070326,0.8571045599971874,-0.0316290475688219
death_30d,I2M,0.8,0.2,1.0,0.25,0.8197037349552906,0.00613173664783687,0.8571045599971874,-0.03740082504189679
death_30d,I2M,0.8,0.2,1.0,0.5,0.8251927832272732,0.005124178747725041,0.8571045599971874,-0.03191177676991419
death_30d,I2M,0.8,0.2,1.0,0.75,0.8259398914788642,0.014686362111502994,0.8571045599971874,-0.031164668518323224
death_30d,I2M,0.8,0.5,1.0,0.0,0.8356112810416153,0.00864787211649759,0.8571045599971874,-0.02149327895557207
death_30d,I2M,0.8,0.5,1.0,0.25,0.8313044217089148,0.004391646963590637,0.8571045599971874,-0.025800138288272545
death_30d,I2M,0.8,0.5,1.0,0.5,0.8376592366018586,0.007332447678059263,0.8571045599971874,-0.019445323395328784
death_30d,I2M,0.8,0.5,1.0,0.75,0.8389102766937383,0.012435635389894869,0.8571045599971874,-0.018194283303449077
death_30d,M2I,0.8,0.0,0.4,0.0,0.7399780464733264,0.00536722438020708,0.7719883559346399,-0.032010309461313446
death_30d,M2I,0.8,0.1,0.4,0.0,0.7474798700180846,0.006997173500810757,0.7719883559346399,-0.0245084859165553
death_30d,M2I,0.8,0.2,0.4,0.0,0.751317744022234,0.007365208326824894,0.7719883559346399,-0.020670611912405934
death_30d,M2I,0.8,0.3,0.4,0.0,0.7519349096568896,0.004631043251353429,0.7719883559346399,-0.020053446277750298
death_30d,M2I,0.8,0.5,0.4,0.0,0.7491505653432435,0.004494933946116931,0.7719883559346399,-0.022837790591396345
death_30d,M2I,0.8,0.7,0.4,0.0,0.7533276364197827,0.0066239995767489864,0.7719883559346399,-0.01866071951485715
death_30d,M2I,0.8,0.0,1.0,0.0,0.7380009867551197,0.001972650861711883,0.7719883559346399,-0.033987369179520166
death_30d,M2I,0.8,0.1,1.0,0.0,0.7431712463817499,0.006002335980201108,0.7719883559346399,-0.028817109552889963
death_30d,M2I,0.8,0.2,1.0,0.0,0.7535397177809368,0.003922640244233778,0.7719883559346399,-0.018448638153703123
death_30d,M2I,0.8,0.3,1.0,0.0,0.7530698555184635,0.003978239168260761,0.7719883559346399,-0.018918500416176376
death_30d,M2I,0.8,0.5,1.0,0.0,0.7584393296454248,0.005494127034272998,0.7719883559346399,-0.01354902628921506
death_30d,M2I,0.8,0.7,1.0,0.0,0.7633234125399538,0.004003980362339681,0.7719883559346399,-0.008664943394686042
death_30d,M2I,0.2,0.0,0.4,0.0,0.7128203182817683,0.013596939707574307,0.7719883559346399,-0.0591680376528716
death_30d,M2I,0.2,0.1,0.4,0.0,0.707771628305674,0.017977139778492537,0.7719883559346399,-0.06421672762896591
death_30d,M2I,0.2,0.2,0.4,0.0,0.7182321643124748,0.0060314667008762165,0.7719883559346399,-0.05375619162216505
death_30d,M2I,0.2,0.3,0.4,0.0,0.7138241552684027,0.006407364413065947,0.7719883559346399,-0.058164200666237176
death_30d,M2I,0.2,0.5,0.4,0.0,0.7063891062944684,0.004973393365991397,0.7719883559346399,-0.0655992496401715
death_30d,M2I,0.2,0.7,0.4,0.0,0.7040018599269162,0.0063845206302552615,0.7719883559346399,-0.06798649600772366
death_30d,M2I,0.2,0.0,1.0,0.0,0.7088988096822684,0.0068972065233001,0.7719883559346399,-0.06308954625237151
death_30d,M2I,0.2,0.1,1.0,0.0,0.694068643371437,0.020815502462676397,0.7719883559346399,-0.07791971256320285
death_30d,M2I,0.2,0.2,1.0,0.0,0.7061137998413383,0.020888365798055787,0.7719883559346399,-0.06587455609330162
death_30d,M2I,0.2,0.3,1.0,0.0,0.7046829161808317,0.014019724486171791,0.7719883559346399,-0.0673054397538082
death_30d,M2I,0.2,0.5,1.0,0.0,0.6986046554964567,0.018711317720881488,0.7719883559346399,-0.07338370043818321
death_30d,M2I,0.2,0.7,1.0,0.0,0.6988147402757591,0.02264709167089879,0.7719883559346399,-0.07317361565888081
death_30d,M2I,0.8,0.0,1.0,0.0,0.7393444644989998,0.004274203857185435,0.7719883559346399,-0.03264389143564006
death_30d,M2I,0.8,0.0,1.0,0.25,0.7338789326007209,0.008587425996314403,0.7719883559346399,-0.03810942333391898
death_30d,M2I,0.8,0.0,1.0,0.5,0.7277239144362628,0.007270746845698616,0.7719883559346399,-0.04426444149837705
death_30d,M2I,0.8,0.0,1.0,0.75,0.7283208924099719,0.007735326203300464,0.7719883559346399,-0.04366746352466799
death_30d,M2I,0.8,0.2,1.0,0.0,0.7482629737888734,0.00591048901940781,0.7719883559346399,-0.02372538214576647
death_30d,M2I,0.8,0.2,1.0,0.25,0.7514470781577495,0.007067391076857473,0.7719883559346399,-0.02054127777689041
death_30d,M2I,0.8,0.2,1.0,0.5,0.7462195831846988,0.00479254197732256,0.7719883559346399,-0.02576877274994105
death_30d,M2I,0.8,0.2,1.0,0.75,0.746065180854821,0.0063593023476951616,0.7719883559346399,-0.025923175079818894
death_30d,M2I,0.8,0.5,1.0,0.0,0.7584393296454248,0.005494127034272998,0.7719883559346399,-0.01354902628921506
death_30d,M2I,0.8,0.5,1.0,0.25,0.7560139263802593,0.009700660223166083,0.7719883559346399,-0.015974429554380554
death_30d,M2I,0.8,0.5,1.0,0.5,0.7513823001687777,0.007941821963984711,0.7719883559346399,-0.020606055765862163
death_30d,M2I,0.8,0.5,1.0,0.75,0.7499580717811107,0.007319795592424041,0.7719883559346399,-0.022030284153529145
death_30d,M2M,0.8,0.0,0.4,0.0,0.8460532175462036,0.011776544900725303,0.8712512744787823,-0.025198056932578705
death_30d,M2M,0.8,0.1,0.4,0.0,0.8538480469711353,0.007566589217112721,0.8712512744787823,-0.017403227507647
death_30d,M2M,0.8,0.2,0.4,0.0,0.8526336298327649,0.006727541303430242,0.8712512744787823,-0.01861764464601734
death_30d,M2M,0.8,0.3,0.4,0.0,0.8565244524135992,0.005137674681876376,0.8712512744787823,-0.014726822065183054
death_30d,M2M,0.8,0.5,0.4,0.0,0.8578516682487782,0.004274645943417032,0.8712512744787823,-0.013399606230004024
