model_type,outcome,model,n,ev,mean,sd,seed42,lo,hi,sig
ehr_ecg,composite_30d,ecg_pub,3501,547,0.7145163479672262,0.002867582957291826,0.7164146405765925,,,
ehr_ecg,composite_30d,ecg_opt,3501,547,0.7366748192991296,0.001841040947149529,0.7348218076317057,,,
ehr_ecg,composite_30d,ehr+ecg_pub,3501,547,0.8103871386446744,0.00047912588580875675,0.8105073033311508,,,
ehr_ecg,composite_30d,ehr+ecg_opt,3501,547,0.8132744433538509,0.0005931492732458434,0.8126869772836138,,,
ehr_ecg,composite_30d,ehr+ecg_pub_vs_ehr,3501,547,0.00632656257788312,,,0.001035615620485564,0.011705151033447908,1.0
ehr_ecg,composite_30d,ehr+ecg_opt_vs_ehr,3501,547,0.00843465262678436,,,0.0019054005302854367,0.014771369085095031,1.0
ehr_ecg,composite_30d,ehr+ecg_opt_vs_ehr+ecg_pub,3501,547,0.0021080900489012402,,,-0.0019414050507215674,0.006019401269675113,0.0
ehr_ecg,composite_30d,ecg_opt_vs_ecg_pub,3501,547,0.018021178579570554,,,0.0022552251545878005,0.033506015611185755,1.0
ehr_ecg,cv_first,ehr,3126,172,0.798227866038954,0.0,0.798227866038954,,,
ehr_ecg,cv_first,ecg_pub,3126,172,0.6779714668850015,0.014720375136668153,0.6983180079041426,,,
ehr_ecg,cv_first,ecg_opt,3126,172,0.7438586754000619,0.004096337158445099,0.7402949882697485,,,
ehr_ecg,cv_first,ehr+ecg_pub,3126,172,0.7992212963108752,0.0020835252488701586,0.8028048290847255,,,
ehr_ecg,cv_first,ehr+ecg_opt,3126,172,0.8075136590511879,0.001537798938638513,0.8059647147738187,,,
ehr_ecg,cv_first,ehr+ecg_pub_vs_ehr,3126,172,0.004535399459427522,,,-0.0026774909617803184,0.01181822051682144,0.0
ehr_ecg,cv_first,ehr+ecg_opt_vs_ehr,3126,172,0.007688951633560667,,,-0.002524084259731335,0.018239327274765203,0.0
ehr_ecg,cv_first,ehr+ecg_opt_vs_ehr+ecg_pub,3126,172,0.0031535521741331445,,,-0.004126400554055487,0.010469539541270688,0.0
ehr_ecg,cv_first,ecg_opt_vs_ecg_pub,3126,172,0.04198654305648137,,,0.012819063493338846,0.07081132560081896,1.0
ehr_ecg,death_30d_inhosp,ehr,3501,242,0.8321342804034092,1.2161883888976234e-16,0.8321342804034093,,,
ehr_ecg,death_30d_inhosp,ecg_pub,3501,242,0.703662753789675,0.004290053259343202,0.7059915453455021,,,
ehr_ecg,death_30d_inhosp,ecg_opt,3501,242,0.7283741484695487,0.0017533348748929155,0.7309028526217289,,,
ehr_ecg,death_30d_inhosp,ehr+ecg_pub,3501,242,0.8357526772649928,0.0007047292298363809,0.8365587730353834,,,
ehr_ecg,death_30d_inhosp,ehr+ecg_opt,3501,242,0.8378702503852439,0.000942488180787778,0.8361213321532996,,,
ehr_ecg,death_30d_inhosp,ehr+ecg_pub_vs_ehr,3501,242,0.004443188614449101,,,-0.0018565245524917256,0.01075181341683761,0.0
ehr_ecg,death_30d_inhosp,ehr+ecg_opt_vs_ehr,3501,242,0.004008700281046332,,,-0.003904715789490215,0.011743013450260924,0.0
ehr_ecg,death_30d_inhosp,ehr+ecg_opt_vs_ehr+ecg_pub,3501,242,-0.00043448833340276917,,,-0.005606099117552624,0.004681813486362113,0.0
ehr_ecg,death_30d_inhosp,ecg_opt_vs_ecg_pub,3501,242,0.02482939735112204,,,0.00143998200710819,0.048556066614063975,1.0
