outcome,pair,method,auc,sd,k,reg
death_30d_inhosp,all3,gccaaug_r0.1_k20,0.8603945724947439,0.006552792865580127,20.0,0.1
death_30d_inhosp,all3,gcca_r0.5_k5,0.8784966006977039,0.008963577531623338,5.0,0.5
death_30d_inhosp,all3,gccaaug_r0.5_k5,0.8665621921038952,0.004347782673643415,5.0,0.5
death_30d_inhosp,all3,gcca_r0.5_k10,0.867560389659087,0.010872333820519524,10.0,0.5
death_30d_inhosp,all3,gccaaug_r0.5_k10,0.8646950971949615,0.004315312429335588,10.0,0.5
death_30d_inhosp,all3,gcca_r0.5_k20,0.8590033023271451,0.005917915832147535,20.0,0.5
death_30d_inhosp,all3,gccaaug_r0.5_k20,0.8621142651740251,0.00520829236464595,20.0,0.5
death_30d_inhosp,all3,pls5,0.8333604863756379,0.010257137477255904,5.0,
death_30d_inhosp,all3,pls10,0.7741539241318138,0.011202366188977055,10.0,
death_30d_inhosp,all3,pls20,0.7541666989917171,0.007752072347921662,20.0,
