outcome,stage,combo,method,mean,sd,note
composite_30d,A,ehr+ctpa,rf_pca,0.8180953393722026,0.008742374131103459,
composite_30d,A,ehr+ctpa,rf_ccaaug,0.853677942015255,0.001680059960497361,
composite_30d,A,ecg+ctpa,late,0.792351839857181,0.006183552862732353,
composite_30d,A,ecg+ctpa,block,0.7801510039539448,0.002570324078294527,
composite_30d,A,ecg+ctpa,rf_raw,0.7432865111512842,0.006053977475358384,
composite_30d,A,ecg+ctpa,rf_pca,0.696473029714201,0.008600614790248682,
composite_30d,A,ecg+ctpa,rf_ccaaug,0.7583492038940072,0.004114887341161949,
composite_30d,A,ehr+ecg+ctpa,late,0.8515595041295683,0.0024681163241538533,
composite_30d,A,ehr+ecg+ctpa,block,0.8506630188545483,0.004336937720145982,
composite_30d,A,ehr+ecg+ctpa,rf_raw,0.809229093557358,0.004623446821248545,
composite_30d,A,ehr+ecg+ctpa,rf_pca,0.7229364243062874,0.008256035815002978,
composite_30d,A,ehr+ecg+ctpa,rf_ccaaug,0.8366170087296139,0.003890294639104386,
composite_30d,B,models,mean,0.8492506195157948,,
composite_30d,B,models,grid,0.8492554531890963,,
composite_30d,C,des,ola_ehr,0.8491765031918356,,
composite_30d,C,des,lca_ehr,0.8489863787086358,,
composite_30d,C,des,ola_full,0.8492828440044727,,
composite_30d,C,des,lca_full,0.8489380419756188,,
composite_30d,C,des,auto_strat,0.8492554531890963,,cancer
composite_30d,C,des,des_meta,0.8488284787141139,,
cv_first,uni,ehr,l2,0.8096515990045685,,
cv_first,uni,ecg,l2,0.7033205809159454,,
cv_first,uni,ctpa,l2,0.6216432046948706,,
cv_first,A,ehr+ecg,late,0.7988374252497864,0.012877550099306034,
cv_first,A,ehr+ecg,block,0.7780745087843108,0.009581812260900024,
cv_first,A,ehr+ecg,rf_raw,0.7205270586487389,0.017066661458653314,
cv_first,A,ehr+ecg,rf_pca,0.6766277903651152,0.01274622485516228,
cv_first,A,ehr+ecg,rf_ccaaug,0.7377781079374512,0.01807714534635318,
cv_first,A,ehr+ctpa,late,0.7977677079077369,0.010560991592815613,
cv_first,A,ehr+ctpa,block,0.7879062511607176,0.013211796037655993,
cv_first,A,ehr+ctpa,rf_raw,0.7798146566133047,0.006189150530092852,
cv_first,A,ehr+ctpa,rf_pca,0.724086283103666,0.017064410408028058,
cv_first,A,ehr+ctpa,rf_ccaaug,0.7914515470044201,0.008558594823564568,
