direction,outcome,arch,thresh,nb
I2M,death_30d,early:plain,0.4,0.006064281382656154
I2M,death_30d,early:plain,0.41000000000000003,0.0052522843839615165
I2M,death_30d,early:plain,0.42000000000000004,0.005917902176867902
I2M,death_30d,early:plain,0.43,0.006191950464396285
I2M,death_30d,early:plain,0.44,0.006497444338560166
I2M,death_30d,early:plain,0.45,0.005127074259882023
I2M,death_30d,early:plain,0.46,0.00496372661321115
I2M,death_30d,early:plain,0.47000000000000003,0.004725562662333947
I2M,death_30d,early:plain,0.48000000000000004,0.004571535196156178
I2M,death_30d,early:plain,0.49,0.004411467437187125
I2M,death_30d,early:plain,0.5,0.0036385688295936932
I2M,death_30d,early:blockstd,0.01,0.08300714850138743
I2M,death_30d,early:blockstd,0.02,0.0742936349797651
I2M,death_30d,early:blockstd,0.03,0.06953292529680594
I2M,death_30d,early:blockstd,0.04,0.06728825550838892
I2M,death_30d,early:blockstd,0.05,0.0656219080144266
I2M,death_30d,early:blockstd,0.060000000000000005,0.06404913358192586
I2M,death_30d,early:blockstd,0.06999999999999999,0.06040154671778922
I2M,death_30d,early:blockstd,0.08,0.05394573786484563
I2M,death_30d,early:blockstd,0.09,0.04884078928954611
I2M,death_30d,early:blockstd,0.09999999999999999,0.04568425308267637
I2M,death_30d,early:blockstd,0.11,0.03847071088368163
I2M,death_30d,early:blockstd,0.12,0.03351893709686311
I2M,death_30d,early:blockstd,0.13,0.032321922725720216
I2M,death_30d,early:blockstd,0.14,0.030180377113684122
I2M,death_30d,early:blockstd,0.15000000000000002,0.026968216031106197
I2M,death_30d,early:blockstd,0.16,0.02194692309913656
I2M,death_30d,early:blockstd,0.17,0.018214763237303366
I2M,death_30d,early:blockstd,0.18000000000000002,0.015205076247245188
I2M,death_30d,early:blockstd,0.19,0.014741444496851814
I2M,death_30d,early:blockstd,0.2,0.011673741661613099
I2M,death_30d,early:blockstd,0.21000000000000002,0.009388121684795542
I2M,death_30d,early:blockstd,0.22,0.007914664676338418
I2M,death_30d,early:blockstd,0.23,0.008253723232498247
I2M,death_30d,early:blockstd,0.24000000000000002,0.006734544061791835
I2M,death_30d,early:blockstd,0.25,0.0066707095209217705
I2M,death_30d,early:blockstd,0.26,0.006211790929801846
I2M,death_30d,early:blockstd,0.27,0.00577352816567949
I2M,death_30d,early:blockstd,0.28,0.005356781888012937
I2M,death_30d,early:blockstd,0.29000000000000004,0.005321193382246176
I2M,death_30d,early:blockstd,0.3,0.00467815992376332
I2M,death_30d,early:blockstd,0.31,0.0034276373032404352
I2M,death_30d,early:blockstd,0.32,0.0033888631256019687
I2M,death_30d,early:blockstd,0.33,0.0027425033715594255
I2M,death_30d,early:blockstd,0.34,0.0020949335685539446
I2M,death_30d,early:blockstd,0.35000000000000003,0.002379064234734338
I2M,death_30d,early:blockstd,0.36000000000000004,0.00234990903577926
I2M,death_30d,early:blockstd,0.37,0.0017134001366869772
I2M,death_30d,early:blockstd,0.38,0.0010759208904712533
I2M,death_30d,early:blockstd,0.39,0.0010438517134080268
I2M,death_30d,early:blockstd,0.4,0.0014149989892864362
I2M,death_30d,early:blockstd,0.41000000000000003,0.0013978682509173512
I2M,death_30d,early:blockstd,0.42000000000000004,0.0013801467974320905
I2M,death_30d,early:blockstd,0.43,-0.0004574808762354643
I2M,death_30d,early:blockstd,0.44,-0.0004764792514944122
I2M,death_30d,early:blockstd,0.45,-0.0004961684767627763
I2M,death_30d,early:blockstd,0.46,-0.0005165869325966354
I2M,death_30d,early:blockstd,0.47000000000000003,-0.00053777589619781
I2M,death_30d,early:blockstd,0.48000000000000004,-0.0005597798199374913
I2M,death_30d,early:blockstd,0.49,-0.000582646642647356
I2M,death_30d,early:blockstd,0.5,-0.0006064281382656155
I2M,death_30d,inter:plain,0.01,0.06625993102645619
I2M,death_30d,inter:plain,0.02,0.059071051100852714
I2M,death_30d,inter:plain,0.03,0.05530374547523335
I2M,death_30d,inter:plain,0.04,0.05195067717808773
I2M,death_30d,inter:plain,0.05,0.048258912897768985
I2M,death_30d,inter:plain,0.060000000000000005,0.04695302117337394
I2M,death_30d,inter:plain,0.06999999999999999,0.04430837848940707
I2M,death_30d,inter:plain,0.08,0.04081525034935534
I2M,death_30d,inter:plain,0.09,0.03894468175850832
I2M,death_30d,inter:plain,0.09999999999999999,0.03705949733845429
I2M,death_30d,inter:plain,0.11,0.03532954940345187
I2M,death_30d,inter:plain,0.12,0.03420805998125587
I2M,death_30d,inter:plain,0.13,0.03183399203975938
I2M,death_30d,inter:plain,0.14,0.029573948975418502
I2M,death_30d,inter:plain,0.15000000000000002,0.027039560517960966
I2M,death_30d,inter:plain,0.16,0.025181206503219842
I2M,death_30d,inter:plain,0.17,0.024235206441289715
I2M,death_30d,inter:plain,0.18000000000000002,0.021772249256755753
I2M,death_30d,inter:plain,0.19,0.020566149331057354
I2M,death_30d,inter:plain,0.2,0.018647665251667674
I2M,death_30d,inter:plain,0.21000000000000002,0.016718993482816587
I2M,death_30d,inter:plain,0.22,0.015596087761036215
I2M,death_30d,inter:plain,0.23,0.013191780929803977
I2M,death_30d,inter:plain,0.24000000000000002,0.0113306310044365
I2M,death_30d,inter:plain,0.25,0.009702850212249856
I2M,death_30d,inter:plain,0.26,0.007670496451575887
I2M,death_30d,inter:plain,0.27,0.005873214982928629
I2M,death_30d,inter:plain,0.28,0.004480830132740372
I2M,death_30d,inter:plain,0.29000000000000004,0.0033481666225369175
I2M,death_30d,inter:plain,0.3,0.0022524473707008497
I2M,death_30d,inter:plain,0.31,0.0011952786493351214
I2M,death_30d,inter:plain,0.32,0.00017836121713694225
I2M,death_30d,inter:plain,0.33,-0.0007965026293638017
I2M,death_30d,inter:plain,0.34,-0.0029770108605766676
I2M,death_30d,inter:plain,0.35000000000000003,-0.005504501562718672
I2M,death_30d,inter:plain,0.36000000000000004,-0.007731958762886612
I2M,death_30d,inter:plain,0.37,-0.010684686245632277
I2M,death_30d,inter:plain,0.38,-0.011248263854926735
I2M,death_30d,inter:plain,0.39,-0.013281770372505941
I2M,death_30d,inter:plain,0.4,-0.014958560743885192
I2M,death_30d,inter:plain,0.41000000000000003,-0.017678921996895913
I2M,death_30d,inter:plain,0.42000000000000004,-0.019405700424499704
I2M,death_30d,inter:plain,0.43,-0.02115051120828145
I2M,death_30d,inter:plain,0.44,-0.02196136186433336
I2M,death_30d,inter:plain,0.45,-0.022713490269584864
I2M,death_30d,inter:plain,0.46,-0.02513307728589717
I2M,death_30d,inter:plain,0.47000000000000003,-0.027392244585054404
I2M,death_30d,inter:plain,0.48000000000000004,-0.03088118673321827
I2M,death_30d,inter:plain,0.49,-0.03334165685679972
I2M,death_30d,inter:plain,0.5,-0.03577926015767132
I2M,death_30d,late:mean,0.01,0.08300714850138743
I2M,death_30d,late:mean,0.02,0.0736624546725907
I2M,death_30d,late:mean,0.03,0.06411883490775416
I2M,death_30d,late:mean,0.04,0.054553264604811
I2M,death_30d,late:mean,0.05,0.04487568223165555
I2M,death_30d,late:mean,0.060000000000000005,0.034927680218830234
I2M,death_30d,late:mean,0.06999999999999999,0.024759221946177884
I2M,death_30d,late:mean,0.08,0.014396076673609828
I2M,death_30d,late:mean,0.09,0.004191684604055751
I2M,death_30d,late:mean,0.09999999999999999,-0.00572737686139746
I2M,death_30d,late:mean,0.11,-0.015828455788663195
I2M,death_30d,late:mean,0.12,-0.025580241468658685
I2M,death_30d,late:mean,0.13,-0.03604413681576435
I2M,death_30d,late:mean,0.14,-0.046229568307783436
I2M,death_30d,late:mean,0.15000000000000002,-0.056255127884992706
I2M,death_30d,late:mean,0.16,-0.06630280978370731
I2M,death_30d,late:mean,0.17,-0.07587658091431829
I2M,death_30d,late:mean,0.18000000000000002,-0.08620154121492701
I2M,death_30d,late:mean,0.19,-0.09559104283179479
I2M,death_30d,late:mean,0.2,-0.1062765312310491
I2M,death_30d,late:mean,0.21000000000000002,-0.11738606443490879
I2M,death_30d,late:mean,0.22,-0.12641694266921677
I2M,death_30d,late:mean,0.23,-0.13757255479511393
I2M,death_30d,late:mean,0.24000000000000002,-0.14841530752290066
I2M,death_30d,late:mean,0.25,-0.15868202951283605
I2M,death_30d,late:mean,0.26,-0.16834117319259834
I2M,death_30d,late:mean,0.27,-0.1763958231223573
I2M,death_30d,late:mean,0.28,-0.1865103429688027
I2M,death_30d,late:mean,0.29000000000000004,-0.1947403035557188
I2M,death_30d,late:mean,0.3,-0.2034133240925236
I2M,death_30d,late:mean,0.31,-0.21267171144567198
I2M,death_30d,late:mean,0.32,-0.21988370848642674
I2M,death_30d,late:mean,0.33,-0.22806223581908536
I2M,death_30d,late:mean,0.34,-0.23512872815480462
I2M,death_30d,late:mean,0.35000000000000003,-0.24196482716798062
I2M,death_30d,late:mean,0.36000000000000004,-0.24583080654942396
I2M,death_30d,late:mean,0.37,-0.2515906706325142
I2M,death_30d,late:mean,0.38,-0.25972730295976054
I2M,death_30d,late:mean,0.39,-0.2646710872958276
I2M,death_30d,late:mean,0.4,-0.27208409136850614
I2M,death_30d,late:mean,0.41000000000000003,-0.27682930589674276
I2M,death_30d,late:mean,0.42000000000000004,-0.28341105372116854
I2M,death_30d,late:mean,0.43,-0.28522336769759443
I2M,death_30d,late:mean,0.44,-0.2912154552542666
I2M,death_30d,late:mean,0.45,-0.29808699487292567
I2M,death_30d,late:mean,0.46,-0.3033937515441457
I2M,death_30d,late:mean,0.47000000000000003,-0.30592583269448603
I2M,death_30d,late:mean,0.48000000000000004,-0.3080188459206046
I2M,death_30d,late:mean,0.49,-0.3107409124959868
I2M,death_30d,late:mean,0.5,-0.31594906003638573
I2M,death_30d,late:wsrc,0.01,0.08300714850138743
I2M,death_30d,late:wsrc,0.02,0.0736624546725907
I2M,death_30d,late:wsrc,0.03,0.06413759041718506
I2M,death_30d,late:wsrc,0.04,0.0545785324439054
I2M,death_30d,late:wsrc,0.05,0.044843764961220514
I2M,death_30d,late:wsrc,0.060000000000000005,0.034888972039792
I2M,death_30d,late:wsrc,0.06999999999999999,0.024759221946177884
I2M,death_30d,late:wsrc,0.08,0.014554275318374776
I2M,death_30d,late:wsrc,0.09,0.0044915666504508345
I2M,death_30d,late:wsrc,0.09999999999999999,-0.005794757765649194
I2M,death_30d,late:wsrc,0.11,-0.015303793242073843
I2M,death_30d,late:wsrc,0.12,-0.025249462484150165
I2M,death_30d,late:wsrc,0.13,-0.03559105832165785
I2M,death_30d,late:wsrc,0.14,-0.04563724314947748
I2M,death_30d,late:wsrc,0.15000000000000002,-0.056255127884992706
I2M,death_30d,late:wsrc,0.16,-0.06630280978370731
I2M,death_30d,late:wsrc,0.17,-0.07624920543301161
I2M,death_30d,late:wsrc,0.18000000000000002,-0.08606842284311261
