outcome,a,b,spearman,err_corr,disagree,yule_q,kappa,joint_miss,auc_a,auc_b,gap
death_30d_inhosp,ehr,ecg,0.4259870099694348,0.5417367938919336,0.33374083129584353,0.5963961320367669,0.32951926873242643,0.024096385542168676,0.8717393721699418,0.718386747246552,0.15335262492338975
death_30d_inhosp,ehr,ctpa,0.38232136049763055,0.502187345929063,0.363080684596577,0.5063793950452663,0.2707357450429776,0.04819277108433735,0.8717393721699418,0.7513945026726351,0.12034486949730672
death_30d_inhosp,ehr,early,0.7474606406818105,0.7834600177627831,0.19682151589242053,0.8854073410922113,0.60328402674334,0.024096385542168676,0.8717393721699418,0.852217627755064,0.01952174441487775
death_30d_inhosp,ehr,pca10,0.7862331730413161,0.8130425667316652,0.1821515892420538,0.9043690836447441,0.6326913775203459,0.024096385542168676,0.8717393721699418,0.8984631378055686,0.02672376563562684
death_30d_inhosp,ehr,inter,0.713425530600906,0.756937802985657,0.20904645476772615,0.8679463872359164,0.5787359186371664,0.012048192771084338,0.8717393721699418,0.8339113052338135,0.03782806693612828
death_30d_inhosp,ehr,late,0.9727122394435904,0.9765130485095791,0.05378973105134474,0.993499898435913,0.8915568812660535,0.060240963855421686,0.8717393721699418,0.8800585471312165,0.008319174961274656
death_30d_inhosp,ecg,ctpa,0.2217216499647117,0.4108784608702154,0.4083129584352078,0.35182199290551436,0.1814179244223062,0.060240963855421686,0.718386747246552,0.7513945026726351,0.03300775542608303
death_30d_inhosp,ecg,early,0.6933119552666649,0.7560534410644748,0.2310513447432763,0.8341312286653536,0.5358781650913447,0.04819277108433735,0.718386747246552,0.852217627755064,0.133830880508512
death_30d_inhosp,ecg,pca10,0.4336076852482894,0.539553462978034,0.3471882640586797,0.5561783636469064,0.3024176899897754,0.012048192771084338,0.718386747246552,0.8984631378055686,0.18007639055901659
death_30d_inhosp,ecg,inter,0.39461193278029455,0.5208033027344481,0.3704156479217604,0.48213886996803396,0.2560232329523709,0.03614457831325301,0.718386747246552,0.8339113052338135,0.11552455798726147
death_30d_inhosp,ecg,late,0.564883042285915,0.6517512120329266,0.2946210268948655,0.7015522380356383,0.4081104167198342,0.024096385542168676,0.718386747246552,0.8800585471312165,0.1616717998846644
death_30d_inhosp,ctpa,early,0.4555190287186975,0.5611295353219783,0.3581907090464548,0.5220844628454493,0.28064169999474753,0.03614457831325301,0.7513945026726351,0.852217627755064,0.10082312508242897
death_30d_inhosp,ctpa,pca10,0.4146273961960773,0.5194222192509913,0.402200488997555,0.37219050056866276,0.1920672351654685,0.012048192771084338,0.7513945026726351,0.8984631378055686,0.14706863513293356
death_30d_inhosp,ctpa,inter,0.3769920906365399,0.5023744852661455,0.3924205378973105,0.4072451276847819,0.21198980242575025,0.04819277108433735,0.7513945026726351,0.8339113052338135,0.08251680256117844
death_30d_inhosp,ctpa,late,0.5248364841001997,0.6158166360261044,0.31784841075794623,0.6415232505811647,0.36158684751237097,0.04819277108433735,0.7513945026726351,0.8800585471312165,0.12866404445858137
death_30d_inhosp,early,pca10,0.8374274622773147,0.8577657048378621,0.18337408312958436,0.9029070482594612,0.6303097775079505,0.024096385542168676,0.852217627755064,0.8984631378055686,0.04624551005050459
death_30d_inhosp,early,inter,0.7707116847444686,0.8054155246146343,0.2139364303178484,0.8605378745961159,0.5689713575971999,0.060240963855421686,0.852217627755064,0.8339113052338135,0.01830632252125053
