direction,outcome,arch,n,ev,auc,ap,ehr_ref,gain,lo,hi,pgt
I2M,death_30d,early:plain,1649,152,0.8326829096790072,0.3722545159957971,0.8459946208205885,-0.013394275702613026,-0.03767219508766981,0.010259143660279453,0.128
I2M,death_30d,early:blockstd,1649,152,0.8658193580142742,0.413428463669915,0.8459946208205885,0.019657329500734948,-0.001244389407111976,0.040026947762527736,0.968
I2M,death_30d,early:pca,1649,152,0.829536265513483,0.3771700046823917,0.8459946208205885,-0.016326434420196493,-0.03927377637447191,0.006390674420714419,0.0835
I2M,death_30d,inter:plain,1649,152,0.8026359737017894,0.37165325570916896,0.8459946208205885,-0.0426730878596748,-0.07992549210270618,-0.005230732251894176,0.0125
I2M,death_30d,inter:gated,1649,152,0.8217443659248321,0.3611841787837856,0.8459946208205885,-0.023898796152646284,-0.05717732296641213,0.008212033098385058,0.0775
I2M,death_30d,inter:moddrop,1649,152,0.808270048869669,0.348796943247485,0.8459946208205885,-0.03713113432651792,-0.07365809036500111,-0.0023448633500425388,0.0175
I2M,death_30d,inter:lowrank,1649,152,0.8250492212495165,0.3542736190987763,0.8459946208205885,-0.020876102792069248,-0.048273025854852436,0.008432730530311353,0.0765
I2M,death_30d,inter:bilinear,1649,152,0.8092764476321064,0.3485593176867995,0.8459946208205885,-0.036485298751579395,-0.06942425181777064,-0.003970530751686109,0.0125
I2M,death_30d,inter:tucker,1649,152,0.8323796716239497,0.3649491655138903,0.8459946208205885,-0.013558045810389012,-0.04225775494651279,0.015691621268072,0.187
I2M,death_30d,inter:crossattn,1649,152,0.803115001933692,0.3316491821985118,0.8459946208205885,-0.042464537245064694,-0.07995751503334562,-0.007908492675216275,0.006
I2M,death_30d,late:mean,1649,152,0.8367216889920192,0.3769167192217322,0.8459946208205885,-0.009345899875541673,-0.035582907546018096,0.015848370553690875,0.2395
I2M,death_30d,late:wsrc,1649,152,0.8479305101430932,0.3897571090295898,0.8459946208205885,0.001888842844635599,-0.018080426107476292,0.021622276326511657,0.587
I2M,death_30d,uni:ehr_only,1649,152,0.8459946208205885,0.3951160572440815,0.8459946208205885,0.0,0.0,0.0,0.5
I2M,death_30d,uni:ctpa_only,1649,152,0.7267209858313117,0.25173342683507166,0.8459946208205885,-0.11940437096240751,-0.16887525466312903,-0.07014334137598952,0.0
I2M,composite_30d,early:plain,1649,219,0.8214260625219529,0.377815020996315,0.8183191237985759,0.002946418535272432,-0.01050200800782126,0.01599685462096928,0.6675
I2M,composite_30d,early:blockstd,1649,219,0.8338218858766804,0.4019245748523057,0.8183191237985759,0.015346505620955419,0.0043338644098099375,0.026473299102683697,0.998
I2M,composite_30d,early:pca,1649,219,0.8244052750902066,0.3889881002210264,0.8183191237985759,0.0060613898119205815,-0.0049371304492050435,0.017869714029464266,0.8415
I2M,composite_30d,inter:plain,1649,219,0.8221221700673754,0.3612359783473549,0.8183191237985759,0.003970857106720717,-0.017659999560887506,0.025760912786099304,0.6445
I2M,composite_30d,inter:gated,1649,219,0.81189130504199,0.3826677976702229,0.8183191237985759,-0.006406019141851891,-0.028098046137313985,0.015045875488600828,0.282
I2M,composite_30d,inter:moddrop,1649,219,0.8226458473033815,0.3711048101697107,0.8183191237985759,0.004381483706470626,-0.017722964506707777,0.025745158278633176,0.663
I2M,composite_30d,inter:lowrank,1649,219,0.8070856084554714,0.34634034131201635,0.8183191237985759,-0.010944662186017308,-0.03259328218459759,0.010481554513151865,0.1705
I2M,composite_30d,inter:bilinear,1649,219,0.8196634415812497,0.376243781271495,0.8183191237985759,0.0013186514343199777,-0.02010502955919969,0.02247345656811575,0.5435
I2M,composite_30d,inter:tucker,1649,219,0.8174410064821023,0.38603352118848744,0.8183191237985759,-0.0006430192039148959,-0.02318178700198588,0.02184337380996315,0.477
I2M,composite_30d,inter:crossattn,1649,219,0.8140594565252098,0.38892739036429946,0.8183191237985759,-0.004180734204149983,-0.028335855444997223,0.019299802409500025,0.371
I2M,composite_30d,late:mean,1649,219,0.817800236293387,0.40088811676412994,0.8183191237985759,-0.0007830635052289851,-0.020106532993795053,0.018694832849463754,0.4665
I2M,composite_30d,late:wsrc,1649,219,0.8321247245904779,0.4107806816337938,0.8183191237985759,0.013606983772007503,0.0026440633634778913,0.024893635201850957,0.9955
I2M,composite_30d,uni:ehr_only,1649,219,0.8183191237985759,0.37245046867539505,0.8183191237985759,0.0,0.0,0.0,0.5
I2M,composite_30d,uni:ctpa_only,1649,219,0.7164830603186767,0.29573587028184195,0.8183191237985759,-0.10222011728346893,-0.13950333822234362,-0.06308963749537397,0.0
I2M,cv_first,early:plain,1506,76,0.8053551711446448,0.1888715343667828,0.8003496503496503,0.005139693253265243,-0.011874692526816083,0.023469981840365497,0.7215
I2M,cv_first,early:blockstd,1506,76,0.8098546190651453,0.1822961488446504,0.8003496503496503,0.009662226435184081,-0.0066358632845410935,0.025220368611279916,0.8875
I2M,cv_first,early:pca,1506,76,0.8171420684578581,0.1969680585617485,0.8003496503496503,0.016894110769647377,0.001040553716232759,0.034808174381234576,0.982
I2M,cv_first,inter:plain,1506,76,0.788755980861244,0.1591952935384804,0.8003496503496503,-0.011261974396718919,-0.04464137814617797,0.022583080843950533,0.254
I2M,cv_first,inter:gated,1506,76,0.7894368789105631,0.15948041131603968,0.8003496503496503,-0.010457491154254928,-0.04300219482308028,0.020626568296910473,0.255
I2M,cv_first,inter:moddrop,1506,76,0.8048675009201326,0.17069050701751057,0.8003496503496503,0.0047254335931779965,-0.027586814640613414,0.03738690541404558,0.613
I2M,cv_first,inter:lowrank,1506,76,0.7769874861980126,0.16239442564976148,0.8003496503496503,-0.023228517732817876,-0.05555839765106059,0.010305886464542917,0.084
I2M,cv_first,inter:bilinear,1506,76,0.7711078395288921,0.17336483876791353,0.8003496503496503,-0.029117010939306822,-0.07526087718729746,0.013888687655645309,0.087
I2M,cv_first,inter:tucker,1506,76,0.794976076555024,0.19835183393982012,0.8003496503496503,-0.0052743307015380835,-0.038199948558118646,0.027156238488782625,0.3665
I2M,cv_first,inter:crossattn,1506,76,0.7916267942583732,0.1550486821119622,0.8003496503496503,-0.008185438763546802,-0.047222901365632355,0.03119651980810395,0.3365
I2M,cv_first,late:mean,1506,76,0.7574162679425838,0.165495650896645,0.8003496503496503,-0.042422111347984855,-0.08234832703320152,-0.002677241821940174,0.0195
I2M,cv_first,late:wsrc,1506,76,0.8006394920868606,0.18344066033529352,0.8003496503496503,0.0004015543931175575,-0.009827178165376413,0.010638677238446937,0.537
I2M,cv_first,uni:ehr_only,1506,76,0.8003496503496503,0.18119374214392595,0.8003496503496503,0.0,0.0,0.0,0.5
I2M,cv_first,uni:ctpa_only,1506,76,0.6153570114096429,0.10174136167353613,0.8003496503496503,-0.18413403085397761,-0.264524657377356,-0.10332648980121682,0.0
M2I,death_30d,early:plain,3300,246,0.7797091379558196,0.20802737604716337,0.773351355812183,0.006596534581452559,-0.00799241358412891,0.021856242553848403,0.8025
M2I,death_30d,early:blockstd,3300,246,0.7833535653627657,0.2169420871242081,0.773351355812183,0.010156253729619459,-0.00501950147097896,0.026129012498544678,0.906
M2I,death_30d,early:pca,3300,246,0.7765585317935695,0.2035817086041243,0.773351355812183,0.0033931606995004594,-0.011803554657928535,0.019379152582427204,0.668
M2I,death_30d,inter:plain,3300,246,0.7684124778379414,0.19215733818732408,0.773351355812183,-0.004827655083148389,-0.026676858853842626,0.016809776594867987,0.3255
M2I,death_30d,inter:gated,3300,246,0.7529083542308901,0.18761402766768648,0.773351355812183,-0.020392133537117146,-0.046615375404040725,0.0049721218152197315,0.063
M2I,death_30d,inter:moddrop,3300,246,0.7531426198348429,0.20126374273686304,0.773351355812183,-0.020181440782329026,-0.04620132546106463,0.005347940104100496,0.0675
M2I,death_30d,inter:lowrank,3300,246,0.7565674232380831,0.1951077590668963,0.773351355812183,-0.016750974477746823,-0.04214792800123298,0.00775854682488795,0.096
M2I,death_30d,inter:bilinear,3300,246,0.7720662226268629,0.1954001831863808,0.773351355812183,-0.0009804197925014813,-0.024966772164349428,0.022942588173193737,0.461
M2I,death_30d,inter:tucker,3300,246,0.7693002912347394,0.19673913035638368,0.773351355812183,-0.0038870281578270533,-0.027534116066861007,0.019114131934030897,0.3735
M2I,death_30d,inter:crossattn,3300,246,0.7557940805341256,0.18814034488242173,0.773351355812183,-0.01744125020197185,-0.04166892485783459,0.00584871162897963,0.0695
M2I,death_30d,late:mean,3300,246,0.7927335069028489,0.22840753350427892,0.773351355812183,0.019618258197248384,-0.0010843728615185036,0.041905951268663186,0.9665
M2I,death_30d,late:wsrc,3300,246,0.7980084761554885,0.24091690259826937,0.773351355812183,0.024764580729626774,0.013207736047202837,0.03650432155930692,1.0
M2I,death_30d,uni:ehr_only,3300,246,0.773351355812183,0.21419515253998048,0.773351355812183,0.0,0.0,0.0,0.5
M2I,death_30d,uni:ctpa_only,3300,246,0.7105575255163159,0.1516736363603281,0.773351355812183,-0.06232508433711473,-0.1028164348940951,-0.019513607247756255,0.0015
M2I,composite_30d,early:plain,3300,505,0.7341256487008271,0.3161669952962387,0.7359180998600754,-0.00158782780674423,-0.014142455538532096,0.010503748795371009,0.3985
M2I,composite_30d,early:blockstd,3300,505,0.7499410191466374,0.32688100226431743,0.7359180998600754,0.014188754571053801,0.0023604262725545637,0.02641645598202926,0.991
M2I,composite_30d,early:pca,3300,505,0.734606705751076,0.31238200140412875,0.7359180998600754,-0.0010491880995103634,-0.014103237696243881,0.011827420300569288,0.4345
M2I,composite_30d,inter:plain,3300,505,0.709052586832923,0.2809299867792055,0.7359180998600754,-0.026992042649050682,-0.04645440830580138,-0.007149624760332005,0.0035
M2I,composite_30d,inter:gated,3300,505,0.696476381090703,0.26630620047817166,0.7359180998600754,-0.03959830476861194,-0.06038595743861603,-0.018582642367454015,0.0
M2I,composite_30d,inter:moddrop,3300,505,0.7114833773180538,0.2863029218316379,0.7359180998600754,-0.024588209678665394,-0.044552436594658726,-0.0033076338790817158,0.011
M2I,composite_30d,inter:lowrank,3300,505,0.6937296090968668,0.26540637686127755,0.7359180998600754,-0.0424043716592788,-0.063539375369161,-0.020899149774206267,0.0
M2I,composite_30d,inter:bilinear,3300,505,0.7187056093802582,0.27602445660425345,0.7359180998600754,-0.017339799064049095,-0.03547702601237702,0.0014658730194647418,0.034
M2I,composite_30d,inter:tucker,3300,505,0.7079820754884075,0.2873586124971461,0.7359180998600754,-0.02811808752076342,-0.04752554012195196,-0.008838283847764562,0.003
M2I,composite_30d,inter:crossattn,3300,505,0.6944827219752385,0.2681689663630244,0.7359180998600754,-0.041516882630795233,-0.06207062967438873,-0.020970832303115635,0.0
M2I,composite_30d,late:mean,3300,505,0.7365550222285199,0.3224209671297104,0.7359180998600754,0.0007963706633738004,-0.015984815897182543,0.018266109790974216,0.529
M2I,composite_30d,late:wsrc,3300,505,0.7490699445615403,0.33670830807255975,0.7359180998600754,0.01321743070105833,0.005799372499330843,0.020825701787014442,1.0
M2I,composite_30d,uni:ehr_only,3300,505,0.7359180998600754,0.3165889439200364,0.7359180998600754,0.0,0.0,0.0,0.5
M2I,composite_30d,uni:ctpa_only,3300,505,0.6473256699551887,0.2487633658402521,0.7359180998600754,-0.08839345489239978,-0.12011611530292293,-0.05533504151951788,0.0
M2I,cv_first,early:plain,3083,288,0.707619012124826,0.21106087785695085,0.7619701600079506,-0.054168154036798415,-0.07701465577613034,-0.0306451083627552,0.0
M2I,cv_first,early:blockstd,3083,288,0.7610626614987082,0.23942505574267212,0.7619701600079506,-0.0009239950327336546,-0.01711597286820165,0.014467804128792314,0.457
M2I,cv_first,early:pca,3083,288,0.7093631981713377,0.20902246579849548,0.7619701600079506,-0.052403512579477944,-0.07418487213252849,-0.030503692935492533,0.0
M2I,cv_first,inter:plain,3083,288,0.5994620850725502,0.14662576510082947,0.7619701600079506,-0.16201702975840795,-0.19618027202317426,-0.1288770054080982,0.0
M2I,cv_first,inter:gated,3083,288,0.5891460445239516,0.1422874561562195,0.7619701600079506,-0.17224454879708434,-0.20696432400061154,-0.13835762159291634,0.0
M2I,cv_first,inter:moddrop,3083,288,0.5969874279467303,0.1482597066544818,0.7619701600079506,-0.1644268487562989,-0.19857672740517496,-0.13195995189056,0.0
M2I,cv_first,inter:lowrank,3083,288,0.6009484943351222,0.14362966151625806,0.7619701600079506,-0.16062481115512997,-0.19393888537778217,-0.12884839796286202,0.0
M2I,cv_first,inter:bilinear,3083,288,0.655232558139535,0.1430580660140034,0.7619701600079506,-0.10622736266879486,-0.1351704348662518,-0.07806988729919263,0.0
M2I,cv_first,inter:tucker,3083,288,0.6472507950705625,0.15038354171447288,0.7619701600079506,-0.11450827197135675,-0.14247513842208595,-0.08768824058237926,0.0
M2I,cv_first,inter:crossattn,3083,288,0.5942357384217849,0.14539482306518503,0.7619701600079506,-0.1672978578267839,-0.19935456055976963,-0.13588985250143362,0.0
