outcome,method,k,mean,sd,lo,hi,n_seeds,sig
death_30d_inhosp,late_wsrc,,0.8823040232911079,0.0069589240086324325,0.8645662340880231,0.8905751540867842,10,
death_30d_inhosp,early,,0.8808885929321398,0.009065890123499131,0.8608960262644408,0.8882212655248242,10,
death_30d_inhosp,pca2,2.0,0.8505071700684486,0.0030470382577053746,0.8443568618948804,0.8546164090810543,10,
death_30d_inhosp,pca5,5.0,0.8827128565676589,0.004554807802681589,0.8761730727537399,0.8901725152538175,10,
death_30d_inhosp,pca8,8.0,0.9014464025768885,0.004104560647241964,0.8970560906866542,0.9093675473100629,10,
death_30d_inhosp,pca10,10.0,0.9002137083036515,0.003772330531622396,0.8951900145569425,0.9069594573667421,10,
death_30d_inhosp,pca12,12.0,0.8963739275869547,0.0050589212850750045,0.8881283488710627,0.9068123393316195,10,
death_30d_inhosp,pca15,15.0,0.893340973147087,0.006701094421843877,0.8832579676030601,0.9022671663517825,10,
death_30d_inhosp,pca20,20.0,0.88856583144919,0.009262564171427708,0.8695140459008269,0.8995028959023754,10,
death_30d_inhosp,pca30,30.0,0.8803535478675629,0.004026308002949293,0.8734475175767337,0.8855653978381393,10,
death_30d_inhosp,pca40,40.0,0.8683626536996314,0.007668484290842233,0.857132901787097,0.8787127946232229,10,
death_30d_inhosp,pca10_vs_late,10.0,0.014714951823877772,,0.0007325010372536245,0.030559557916722165,1,1.0
death_30d,late_wsrc,,0.8821549923901888,0.003148083844325504,0.8772696704774714,0.8869589070187237,10,
death_30d,early,,0.8842419389091424,0.004395121563077546,0.8752964286978374,0.8926352953668637,10,
death_30d,pca2,2.0,0.8335035217499026,0.004420269552979743,0.822824124871695,0.8368713057020494,10,
death_30d,pca5,5.0,0.8382835451102537,0.004069610083121694,0.8311197041022194,0.8442112342052172,10,
death_30d,pca8,8.0,0.8776001663540155,0.004806828816471393,0.8706199341662834,0.8837822532120483,10,
death_30d,pca10,10.0,0.8786460729833999,0.0033463250781323875,0.8722348069231587,0.8834017626446748,10,
death_30d,pca12,12.0,0.8759215835486497,0.004242657765848494,0.8693324602697059,0.8825390224047004,10,
death_30d,pca15,15.0,0.8763870208473437,0.005616846093934684,0.8666203588999398,0.8831628499628358,10,
death_30d,pca20,20.0,0.8707194811170493,0.008396126950708361,0.8576876791845114,0.8848042685732488,10,
death_30d,pca30,30.0,0.871293756415248,0.007120970392098529,0.8560639578097902,0.8810568789155135,10,
death_30d,pca40,40.0,0.8630012742009697,0.012284682923350191,0.8426096343751106,0.8770838495027077,10,
death_30d,pca10_vs_late,10.0,-0.00948464520332119,,-0.02654596203729016,0.006950867816516596,1,0.0
composite_30d,late_wsrc,,0.8448975818380603,0.004480362065355902,0.8363930156280146,0.8532043861341565,10,
composite_30d,early,,0.8428297639719597,0.006532612901801314,0.8310727377966428,0.8507203035564989,10,
composite_30d,pca2,2.0,0.7951623898643,0.004306090461045276,0.786986301369863,0.8000514502540357,10,
composite_30d,pca5,5.0,0.8158039102193069,0.006442332466101556,0.7993761656698181,0.821223229789697,10,
composite_30d,pca8,8.0,0.8293378995433789,0.004356080165330005,0.822171843848479,0.8356518104058139,10,
composite_30d,pca10,10.0,0.8305254357193389,0.0034977094080076926,0.8246607498874527,0.8346678242973824,10,
composite_30d,pca12,12.0,0.8283252942311403,0.007066465304562631,0.8114637597273135,0.8358608270628337,10,
composite_30d,pca15,15.0,0.8290941539648852,0.008205530898680643,0.8076049906746415,0.8354813814393208,10,
composite_30d,pca20,20.0,0.8293034921859928,0.007059069274096023,0.8151520998134928,0.8387066692391796,10,
composite_30d,pca30,30.0,0.8284860762750016,0.007689433322765052,0.8109267477008167,0.8388417261560228,10,
composite_30d,pca40,40.0,0.8314547559328573,0.005926191807316277,0.8191652196282718,0.8391182712714644,10,
composite_30d,pca10_vs_late,10.0,-0.012928570182685667,,-0.027277922525967457,0.0020672892530909856,1,0.0
cv_first,late_wsrc,,0.8063676797627872,0.008036093024206608,0.787981838398814,0.8176380652335062,10,
cv_first,early,,0.7904948109710898,0.01473465584342144,0.7691160118606376,0.8148072646404744,10,
cv_first,pca2,2.0,0.6952372127501854,0.007462223161189685,0.6814955522609341,0.70763528539659,10,
cv_first,pca5,5.0,0.7508126389918458,0.008303436755608679,0.7354429206819866,0.7644366197183098,10,
cv_first,pca8,8.0,0.7427752038547073,0.011324696960305738,0.724749814677539,0.7567828020756115,10,
cv_first,pca10,10.0,0.7499592290585618,0.019101333591151834,0.7074406968124536,0.7742401779095627,10,
cv_first,pca12,12.0,0.7607690882134914,0.015567285779690037,0.725815418828762,0.7800407709414381,10,
cv_first,pca15,15.0,0.7509590437361008,0.02053749409898422,0.7068661971830985,0.7784377316530763,10,
cv_first,pca20,20.0,0.7555476278724982,0.02651310552025778,0.693921423276501,0.7766864343958488,10,
cv_first,pca30,30.0,0.7535276130467012,0.022288611618471843,0.7107672349888807,0.7825796886582654,10,
cv_first,pca40,40.0,0.7625222386953299,0.02671608210445475,0.7192179392142328,0.8058932542624166,10,
cv_first,pca10_vs_late,10.0,-0.06134131704936622,,-0.09530162578521924,-0.028206253230201574,1,1.0
PERMUTED,pca10,10.0,0.4806129401926472,0.03817866946781398,0.43176046086660275,0.5220831913773345,5,
