outcome,encoder,variant,dim,C,ins_cv,i2m,i2m_ap,contaminated
death_30d,regex,features,38,0.01,0.7025339285809361,0.7432276834370495,0.2516625769423218,0
death_30d,radbert,full,768,0.003,0.7427351041683304,0.7354599549977147,0.24516441445041035,0
death_30d,radbert,pca50,50,0.003,0.7431437379206798,0.7494814189783074,0.26076753327103136,0
death_30d,pubmedbert,full,768,0.003,0.7266453165513973,0.7297599585135183,0.23749609174404024,0
death_30d,pubmedbert,pca50,50,0.003,0.7195215125039265,0.7185643216257076,0.24317152472132653,0
death_30d,clinicalbert,full,768,0.003,0.7228904116153146,0.7265561825405196,0.2579017337410955,1
death_30d,clinicalbert,pca50,50,0.003,0.7120489721596626,0.7300566044369441,0.2536390326386466,1
death_30d,bioclinmodern,full,768,0.003,0.7254806438044733,0.7477345040959111,0.2606197227222558,1
death_30d,bioclinmodern,pca50,50,0.003,0.7376198614638405,0.7523467988608796,0.25711754663920555,1
composite_30d,regex,features,38,0.003,0.6424442515807931,0.7161541654692339,0.28634117529909986,0
composite_30d,radbert,full,768,0.003,0.6822600471138349,0.7001692371555386,0.2723651398735573,0
composite_30d,radbert,pca50,50,0.003,0.6791739138135637,0.6981559536354056,0.2698044562571125,0
composite_30d,pubmedbert,full,768,0.003,0.6707068846419525,0.6786856978637799,0.249263237008662,0
composite_30d,pubmedbert,pca50,50,0.003,0.6599493437715865,0.6776559057380974,0.25943751944838656,0
composite_30d,clinicalbert,full,768,0.003,0.6584990878336492,0.681489286968739,0.2496384194270036,1
composite_30d,clinicalbert,pca50,50,0.003,0.6568369967587099,0.6780199252801993,0.2497551939107021,1
composite_30d,bioclinmodern,full,768,0.003,0.6816875963088259,0.7022256282530255,0.2646791718449368,1
composite_30d,bioclinmodern,pca50,50,0.003,0.6853653093395207,0.704861576779385,0.2653150671717428,1
cv_first,regex,features,38,0.003,0.5964557245080501,0.6310544718439455,0.09807852555420116,0
cv_first,radbert,full,768,0.003,0.6227402603856091,0.5998021715126978,0.07038398003524185,0
cv_first,radbert,pca50,50,0.003,0.6426729278473464,0.5763617960986382,0.06309918407811614,0
cv_first,pubmedbert,full,768,0.003,0.5947040846750149,0.5668154214206844,0.05961565598313201,0
cv_first,pubmedbert,pca50,50,0.003,0.5941761081295964,0.554435038645565,0.06164645431683102,0
cv_first,clinicalbert,full,768,0.003,0.6105036275094414,0.5735231873389768,0.06311766639668243,1
cv_first,clinicalbert,pca50,50,0.003,0.6158852613794475,0.5722396025027604,0.06082617417963591,1
cv_first,bioclinmodern,full,768,0.003,0.6026821208507255,0.5848316157526684,0.06281103721467628,1
cv_first,bioclinmodern,pca50,50,0.003,0.6091520075531703,0.5944608023555392,0.06787459857074273,1
