direction,outcome,ehr,ctpa,gap,ratio,ev,early_best,early_mean,inter_best,inter_mean,late_best,late_mean,any_best,best_arch
M2I,death_30d,0.773351355812183,0.7105575255163159,0.06279383029586705,0.9188029738049399,246,0.0101562537296194,0.006715316336857434,-0.0009804197925014,-0.012065843147520199,0.0247645807296267,0.0221914194634375,0.0247645807296267,late:wsrc
I2I,death_30d,0.7796612199913747,0.7017519340222872,0.07790928596908753,0.9000728983673839,246,0.0208278664481807,0.018042718008439734,-0.0042973005928177,-0.019341830640036115,0.0162640223049528,0.014745403943541,0.0208278664481807,early:plain
M2I,composite_30d,0.7359180998600754,0.6473256699551887,0.0885924299048867,0.879616454709116,505,0.0141887545710538,0.0038505795549330997,-0.017339799064049,-0.03150824256731631,0.0132174307010583,0.00700690068221605,0.0141887545710538,early:blockstd
I2M,composite_30d,0.8183191237985759,0.7164830603186767,0.10183606347989915,0.8755545843690127,219,0.0153465056209554,0.008118104656049433,0.0043814837064706,-0.001786206069774657,0.0136069837720075,0.006411960133389299,0.0153465056209554,early:blockstd
I2I,composite_30d,0.7542669902052819,0.6382861899785686,0.11598080022671331,0.8462337584266443,505,0.0065909128237438,0.002032444996960933,-0.0276279081014987,-0.03442064675303678,0.005210159393029,-0.0037227101420398505,0.0065909128237438,early:blockstd
I2M,death_30d,0.8459946208205885,0.7267209858313117,0.11927363498927679,0.8590137194092499,152,0.0196573295007349,-0.0033544602073581667,-0.013558045810389,-0.03101242899113443,0.0018888428446355,-0.00372852851545305,0.0196573295007349,early:blockstd
M2M,death_30d,0.8746396301374678,0.746783039763738,0.12785659037372976,0.8538179771780585,152,0.0078568165181664,0.005014384447328133,-0.0083363507611582,-0.015925542421665315,0.0116907263142549,0.0035348416300310503,0.0116907263142549,late:wsrc
M2M,cv_first,0.7887099742362901,0.6606183290393817,0.1280916451969084,0.8375934762065868,76,0.0038380850042431,-0.010222245813713766,-0.0396387439452737,-0.055569011066941267,0.0093535428414152,0.0006783891048855002,0.0093535428414152,late:wsrc
M2M,composite_30d,0.8359421400517293,0.6979180636714883,0.13802407638024095,0.8348880026891576,219,0.0038566265815294,-0.0055378432406931995,-0.0059276733310313,-0.01952686920208193,0.0030681552062363,-0.007746227091931451,0.0038566265815294,early:blockstd
I2M,cv_first,0.8003496503496503,0.6153570114096429,0.1849926389400074,0.7688602239543814,76,0.0168941107696473,0.010565343486032169,0.0047254335931779,-0.0118284757278579,0.0004015543931175,-0.02101027847743365,0.0168941107696473,early:pca
I2I,cv_first,0.7849520473066984,0.5881161796859471,0.19683586762075134,0.7492383537362212,288,-0.0081785118435627,-0.0157771298453467,-0.0636426996852057,-0.07908860045389055,-0.0034729584753748,-0.0275937780734232,-0.0034729584753748,late:wsrc
M2I,cv_first,0.7619701600079506,0.5462588203140529,0.21571133969389766,0.7169031662714366,288,-0.0009239950327336,-0.03583188721633663,-0.1062273626687948,-0.1496209615619795,-0.022939132918134,-0.0428280348456058,-0.0009239950327336,early:blockstd
