outcome,cell,nfeat,zs_auc,ref,diff,ap,ins_cv
death_30d,current,15,0.793494608559819,0.7946,-0.0011053914401809584,0.3688038354516087,0.7556605313924784
death_30d,tierA,28,0.8206398079027121,0.8234,-0.00276019209728795,0.421618195407611,0.7774037514441942
composite_30d,current,15,0.7698390417368519,0.77,-0.00016095826314810324,0.37677316971592434,0.7462937707008627
composite_30d,tierA,28,0.8002969945920388,0.8003,-3.0054079611652185e-06,0.4066367413408022,0.7525172839287505
cv_first,current,15,0.7865529768069547,0.786,0.0005529768069546526,0.16745807697858692,0.7820152554164183
cv_first,tierA,28,0.7940832627185136,0.7933,0.0007832627185135888,0.1712353567963836,0.7829471857814881
