direction,outcome,config,drop,wd,mode,params,auc,src_auc,overfit,ehr_ref,late_ref,early_ref,gain,lo,hi,vs_late,vs_early,sig
I2M,death_30d,drop80,0.8,0.0001,mlp,3905,0.8739760222198784,0.8619337028340814,-0.012042319385796918,0.8571045599971874,0.8627364377878565,0.8556850543191648,0.017028059558906187,0.0043217620549702825,0.030409345963241873,0.011239584432021887,0.018290967900713606,1
I2M,death_30d,drop90,0.9,0.0001,mlp,3905,0.6167246774250255,0.6144806757497829,-0.002244001675242524,0.8571045599971874,0.8627364377878565,0.8556850543191648,-0.24066524676436796,-0.29026998198029763,-0.19322865538805498,-0.246011760362831,-0.2389603768941393,1
I2M,death_30d,drop93,0.93,0.0001,mlp,3905,0.6721337411665436,0.6092536244615884,-0.06288011670495519,0.8571045599971874,0.8627364377878565,0.8556850543191648,-0.18539772497179882,-0.23005703981449907,-0.14411407944099658,-0.1906026966213129,-0.1835513131526212,1
I2M,death_30d,drop95,0.95,0.0001,mlp,3905,0.4729458917835671,0.45211797402846327,-0.020827917755103842,0.8571045599971874,0.8627364377878565,0.8556850543191648,-0.38418338155014875,-0.43990905259647195,-0.33077986938342874,-0.38979054600428936,-0.38273916253559764,1
I2M,death_30d,drop97,0.97,0.0001,mlp,3905,0.5525063284463665,0.5559102815979045,0.003403953151537964,0.8571045599971874,0.8627364377878565,0.8556850543191648,-0.30392925825325234,-0.3597806277444502,-0.25117604605490773,-0.31023010934149,-0.30317872587279826,1
I2M,death_30d,wd1e0,0.5,1.0,mlp,3905,0.5,0.5,0.0,0.8571045599971874,0.8627364377878565,0.8556850543191648,-0.35731347991850326,-0.38594255237471264,-0.32896173435374954,-0.36273643778785647,-0.35568505431916475,1
I2M,death_30d,wd3e1,0.5,0.3,mlp,3905,0.5,0.5,0.0,0.8571045599971874,0.8627364377878565,0.8556850543191648,-0.35731347991850326,-0.38594255237471264,-0.32896173435374954,-0.36273643778785647,-0.35568505431916475,1
I2M,death_30d,identity,0.0,0.0001,identity,1089,0.8013087578666105,0.9883479483124891,0.18703919044587858,0.8571045599971874,0.8627364377878565,0.8556850543191648,-0.055422025183508465,-0.08693130002430223,-0.023353342872290375,-0.06142767992124598,-0.05437629645255426,1
I2M,death_30d,id_drop50,0.5,0.0001,identity,1089,0.8681881306472594,0.8847839166014451,0.01659578595418565,0.8571045599971874,0.8627364377878565,0.8556850543191648,0.011253342751525165,-0.010513101877667871,0.03308348759506195,0.005451692859402946,0.012503076328094664,0
I2M,death_30d,linear,0.0,0.0001,linear,67,0.8433094258692824,0.8513092252729993,0.007999799403716978,0.8571045599971874,0.8627364377878565,0.8556850543191648,-0.013656521350066864,-0.03824101828094438,0.0090540046955433,-0.0194270119185741,-0.012375628449882381,0
