outcome,method,kind,mean,sd,vs_best,members,weights
death_30d_inhosp,ehr,base,0.8717393721699418,0.014284007387349302,,,
death_30d_inhosp,ecg,base,0.718386747246552,0.0071224522743579466,,,
death_30d_inhosp,ctpa,base,0.7513945026726351,0.020955332731636696,,,
death_30d_inhosp,early,base,0.852217627755064,0.014553342114641883,,,
death_30d_inhosp,pca10,base,0.8984631378055686,0.00332886526415006,,,
death_30d_inhosp,inter,base,0.8339113052338135,0.003337337139406453,,,
death_30d_inhosp,late,base,0.8800585471312165,0.012889075182065312,,,
death_30d_inhosp,all/mean,combo,0.8797598636658676,0.005038320184305308,-0.018703274139701076,ehr+ecg+ctpa+early+pca10+inter+late,
death_30d_inhosp,all/grid,combo,0.8996953687253845,0.0030408347891951524,0.0012322309198158354,ehr+ecg+ctpa+early+pca10+inter+late,[0.1  0.05 0.   0.   0.75 0.   0.1 ]
death_30d_inhosp,all/superlearner,combo,0.8991354988531072,0.0032688983319276903,0.0006723610475385389,ehr+ecg+ctpa+early+pca10+inter+late,[0.   0.   0.   0.   0.87 0.   0.13]
death_30d_inhosp,all/stack,combo,0.8809300304889874,0.007980996254285801,-0.017533107316581198,ehr+ecg+ctpa+early+pca10+inter+late,
death_30d_inhosp,strategies/mean,combo,0.8735857790466438,0.003914965199022811,-0.024877358758924828,early+inter+late,
death_30d_inhosp,strategies/grid,combo,0.8829665086618205,0.008253220514627546,-0.015496629143748164,early+inter+late,[0. 0. 1.]
death_30d_inhosp,strategies/superlearner,combo,0.882744112315327,0.008399984079266386,-0.015719025490241623,early+inter+late,[0.01 0.   0.99]
death_30d_inhosp,strategies/stack,combo,0.8696085048500506,0.009012584293516526,-0.028854632955518045,early+inter+late,
death_30d_inhosp,top3/mean,combo,0.8905913415413101,0.007635614598728759,-0.00787179626425849,pca10+late+ehr,
death_30d_inhosp,top3/grid,combo,0.8992505760323976,0.0032431065598805663,0.0007874382268289182,pca10+late+ehr,[0.9  0.05 0.05]
death_30d_inhosp,top3/superlearner,combo,0.8991354988531072,0.0032688983319276903,0.0006723610475385389,pca10+late+ehr,[0.87 0.13 0.  ]
death_30d_inhosp,top3/stack,combo,0.8883234160078821,0.006766427668411083,-0.010139721797686518,pca10+late+ehr,
death_30d_inhosp,pruned/grid,combo,0.8984631378055686,0.00332886526415006,0.0,pca10+ctpa,
death_30d,ehr,base,0.8644991015274036,0.0028038680603565576,,,
death_30d,ecg,base,0.7185800586371589,0.01287403322449281,,,
death_30d,ctpa,base,0.7910548777604388,0.009505887123339343,,,
death_30d,early,base,0.8654182626377264,0.0064483097859491,,,
death_30d,pca10,base,0.8811917766113396,0.0005449175434899594,,,
death_30d,inter,base,0.8467084574644157,0.008954188041578055,,,
