outcome,test,kind,mtry,k,leaf,ntree,maxs,mean,sd,vs_late,lo,hi,brier,slope,brier_platt,slope_platt
death_30d_inhosp,maxsamples,rf,3.0,3.0,5.0,500.0,0.6,0.9142905813485303,0.004073576734654336,0.04250859479047275,,,,,,
death_30d_inhosp,maxsamples,rf,3.0,3.0,5.0,500.0,0.4,0.9158732616842693,0.003038393718521317,0.044091275126211804,,,,,,
death_30d_inhosp,final,rf,3.0,3.0,5.0,1000.0,,0.9170114906928486,0.003958586570444834,0.0452295041347911,0.9106296651903242,0.922406851054604,0.04650108907372248,2.0930598641539793,0.03645978685280327,0.9509228365841105
death_30d,ref,late,,,,,,0.8793114890454111,0.0031355102620458943,0.0,,,,,,
death_30d,mtry_k,rf,1.0,1.0,5.0,500.0,,0.8851281279864086,0.0022457484411285804,0.005816638940997487,,,,,,
death_30d,mtry_k,rf,1.0,2.0,5.0,500.0,,0.8887551764414399,0.0020573916577338236,0.009443687396028744,,,,,,
death_30d,mtry_k,rf,1.0,3.0,5.0,500.0,,0.8871376490992107,0.004468578952193408,0.007826160053799547,,,,,,
death_30d,mtry_k,rf,1.0,5.0,5.0,500.0,,0.8904381835557285,0.0019348768050943827,0.011126694510317336,,,,,,
death_30d,mtry_k,rf,1.0,10.0,5.0,500.0,,0.8941138994089123,0.0023966310326862463,0.014802410363501162,,,,,,
death_30d,mtry_k,rf,2.0,1.0,5.0,500.0,,0.8914840901851131,0.0024313366915525584,0.012172601139701977,,,,,,
death_30d,mtry_k,rf,2.0,2.0,5.0,500.0,,0.8938741018652886,0.002306480547791336,0.014562612819877474,,,,,,
death_30d,mtry_k,rf,2.0,3.0,5.0,500.0,,0.8961897851555587,0.0019934435652061923,0.016878296110147573,,,,,,
death_30d,mtry_k,rf,2.0,5.0,5.0,500.0,,0.8967976852015715,0.0024772898432131514,0.017486196156160427,,,,,,
death_30d,mtry_k,rf,2.0,10.0,5.0,500.0,,0.8973622270201395,0.0038794234343750337,0.018050737974728337,,,,,,
death_30d,mtry_k,rf,3.0,1.0,5.0,500.0,,0.8943174176193678,0.0024939574707220588,0.015005928573956662,,,,,,
death_30d,mtry_k,rf,3.0,2.0,5.0,500.0,,0.8955438360528085,0.0026089594892221572,0.016232347007397396,,,,,,
death_30d,mtry_k,rf,3.0,3.0,5.0,500.0,,0.897977205960429,0.0026047056834122766,0.018665716915017838,,,,,,
death_30d,mtry_k,rf,3.0,5.0,5.0,500.0,,0.8990248823133827,0.002893847088468065,0.019713393267971613,,,,,,
death_30d,mtry_k,rf,3.0,10.0,5.0,500.0,,0.9001743177715641,0.001813095075979219,0.02086282872615297,,,,,,
death_30d,mtry_k,rf,4.0,1.0,5.0,500.0,,0.8971135808586699,0.002543589800836619,0.017802091813258758,,,,,,
death_30d,mtry_k,rf,4.0,2.0,5.0,500.0,,0.8982798286907585,0.002892756158430777,0.018968339645347387,,,,,,
death_30d,mtry_k,rf,4.0,3.0,5.0,500.0,,0.8990567373376278,0.004501823575329196,0.01974524829221669,,,,,,
death_30d,mtry_k,rf,4.0,5.0,5.0,500.0,,0.8994044880189715,0.002173725154621329,0.020092998973560428,,,,,,
death_30d,mtry_k,rf,4.0,10.0,5.0,500.0,,0.9012184546773794,0.0016481129748098736,0.021906965631968256,,,,,,
death_30d,mtry_k,rf,6.0,1.0,5.0,500.0,,0.8977506813435742,0.0028257178224126594,0.018439192298163043,,,,,,
death_30d,mtry_k,rf,6.0,2.0,5.0,500.0,,0.8994478462464164,0.0032908404135537487,0.02013635720100526,,,,,,
death_30d,mtry_k,rf,6.0,3.0,5.0,500.0,,0.9007255866633631,0.0022303774607856895,0.021414097617951988,,,,,,
death_30d,mtry_k,rf,6.0,5.0,5.0,500.0,,0.9003194351042367,0.0030491151395050054,0.02100794605882561,,,,,,
death_30d,mtry_k,rf,6.0,10.0,5.0,500.0,,0.9026430821505681,0.0012743123407735844,0.023331593105156978,,,,,,
death_30d,mtry_k,rf,8.0,1.0,5.0,500.0,,0.8962782713340175,0.004302480171334735,0.016966782288606375,,,,,,
death_30d,mtry_k,rf,8.0,2.0,5.0,500.0,,0.9003698722259583,0.003833981386540453,0.021058383180547202,,,,,,
death_30d,mtry_k,rf,8.0,3.0,5.0,500.0,,0.9010892648568293,0.0025014183440110354,0.021777775811418154,,,,,,
death_30d,mtry_k,rf,8.0,5.0,5.0,500.0,,0.9014750645949103,0.0030515498147213574,0.022163575549499215,,,,,,
death_30d,mtry_k,rf,8.0,10.0,5.0,500.0,,0.9034368031713447,0.003451407048882637,0.02412531412593355,,,,,,
death_30d,algo,rf,8.0,10.0,5.0,500.0,,0.9034368031713447,0.003451407048882637,0.02412531412593355,,,,,,
death_30d,algo,rf,8.0,10.0,10.0,500.0,,0.9008698191342512,0.0020041762933723653,0.021558330088840116,,,,,,
death_30d,algo,rf,8.0,10.0,25.0,500.0,,0.8944103281067498,0.0015027984412223758,0.015098839061338687,,,,,,
death_30d,algo,extra,8.0,10.0,5.0,500.0,,0.8927680246345522,0.002056780277241405,0.013456535589141061,,,,,,
death_30d,algo,extra,8.0,10.0,10.0,500.0,,0.8878508476975897,0.0022799717814637466,0.008539358652178586,,,,,,
death_30d,algo,extra,8.0,10.0,25.0,500.0,,0.8749628358050472,0.002243091026858904,-0.004348653240363931,,,,,,
death_30d,algo,rot,8.0,10.0,5.0,500.0,,0.8884012317276042,0.0027445518490879523,0.009089742682193092,,,,,,
