direction,outcome,arch,n,ev,auc,ap,ehr_ref,gain,lo,hi,sig
I2M,death_30d,early:plain,1649,152,0.8490533698976902,0.39221166659483664,0.8594425693492248,-0.010505178636299645,-0.03304385309784041,0.010879373418954364,0
I2M,death_30d,early:blockstd,1649,152,0.8589020145554266,0.39528788226635236,0.8594425693492248,-0.00047023489780850894,-0.024523645294680478,0.02171966175358986,0
I2M,death_30d,inter:plain,1649,152,0.8047762191048764,0.34131659373619533,0.8594425693492248,-0.05418961418044515,-0.08830424894842775,-0.021734268705119842,1
I2M,death_30d,inter:gated,1649,152,0.8261083570650072,0.3456122359321851,0.8594425693492248,-0.03262454010880083,-0.06288974398983233,-0.0024939613875748865,1
I2M,death_30d,inter:moddrop,1649,152,0.8329861477340647,0.36687173661695244,0.8594425693492248,-0.02630130034162729,-0.05522985538077351,0.0029616859645528377,0
I2M,death_30d,inter:lowrank,1649,152,0.8302042681854939,0.3229605382993218,0.8594425693492248,-0.028934489390163517,-0.05663886937916797,-0.0013839194352402424,1
I2M,death_30d,inter:bilinear,1649,152,0.8147083640966143,0.32176526433714936,0.8594425693492248,-0.044047943854757604,-0.07313308337498826,-0.014541340965856039,1
I2M,death_30d,inter:tucker,1649,152,0.8253700383222586,0.3288498316295713,0.8594425693492248,-0.03325549836276137,-0.06451902542089395,-0.002719017765767976,1
I2M,death_30d,inter:crossattn,1649,152,0.8159652638610555,0.3298109145067028,0.8594425693492248,-0.04277685550989758,-0.07294861308163827,-0.014823332764163642,1
I2M,death_30d,late:mean,1649,152,0.8447047603979889,0.37662539334508294,0.8594425693492248,-0.014715015978325125,-0.0416511209001087,0.01050113333318001,0
I2M,death_30d,late:wsrc,1649,152,0.857952747600464,0.39355777601464703,0.8594425693492248,-0.0014726340857696342,-0.022242585925574366,0.018107666637305952,0
I2M,death_30d,uni:ehr_only,1649,152,0.8594425693492248,0.4138298694951654,0.8594425693492248,0.0,0.0,0.0,0
I2M,death_30d,uni:ctpa_only,1649,152,0.7224756530605069,0.24728268944255213,0.8594425693492248,-0.1367778855908094,-0.18857280648037256,-0.08830513252067622,1
I2M,composite_30d,early:plain,1649,219,0.8351278858128173,0.40446440145074225,0.8313248395440177,0.0036132613736985816,-0.008741920739712528,0.015692805069475246,0
I2M,composite_30d,early:blockstd,1649,219,0.8374812402209661,0.4049081730775752,0.8313248395440177,0.006015132537510098,-0.006812804968777064,0.018895269723492602,0
I2M,composite_30d,inter:plain,1649,219,0.8221636810677907,0.37886808502895175,0.8313248395440177,-0.008768912146129824,-0.02837782197706333,0.011334806789153226,0
I2M,composite_30d,inter:gated,1649,219,0.8047705718938596,0.35134156452223775,0.8313248395440177,-0.026207803553003204,-0.04838803370186103,-0.003510822175891796,1
I2M,composite_30d,inter:moddrop,1649,219,0.8243637640897914,0.385832303482114,0.8313248395440177,-0.0065812908088055035,-0.02650140270355232,0.01203339537940693,0
I2M,composite_30d,inter:lowrank,1649,219,0.8049972858192037,0.381287485484865,0.8313248395440177,-0.0259884985747668,-0.046551234049708276,-0.0036664175008507206,1
I2M,composite_30d,inter:bilinear,1649,219,0.8209949867484113,0.3821904255402422,0.8313248395440177,-0.010100409812623518,-0.031019886991703653,0.01090797975027591,0
I2M,composite_30d,inter:tucker,1649,219,0.8160200530063544,0.38344683880463054,0.8313248395440177,-0.01505718671074978,-0.03660556299035013,0.006483921116624443,0
I2M,composite_30d,inter:crossattn,1649,219,0.8016476674010921,0.36214480809738453,0.8313248395440177,-0.029489575096580196,-0.05330968842959677,-0.006493246344190949,1
I2M,composite_30d,late:mean,1649,219,0.8248299645559919,0.40490554959532266,0.8313248395440177,-0.006738898965141591,-0.026104986191208997,0.012755207119465697,0
I2M,composite_30d,late:wsrc,1649,219,0.8423667656544369,0.42411956946802004,0.8313248395440177,0.010874889754410543,0.00200012533091731,0.019968509864520496,1
I2M,composite_30d,uni:ehr_only,1649,219,0.8313248395440177,0.40449714118223856,0.8313248395440177,0.0,0.0,0.0,0
I2M,composite_30d,uni:ctpa_only,1649,219,0.7156320848101669,0.2929437284808721,0.8313248395440177,-0.11598609040472209,-0.15355189052745266,-0.0783433987401271,1
I2M,cv_first,early:plain,1506,76,0.8060176665439824,0.1899434287727043,0.8038645564961354,0.002227922196983165,-0.015220198186299832,0.020880552639877138,0
I2M,cv_first,early:blockstd,1506,76,0.8193319838056681,0.1953318809007817,0.8038645564961354,0.01570160669718193,-0.001636591531635656,0.03382599269582637,0
I2M,cv_first,inter:plain,1506,76,0.7605723224144277,0.14928240334625292,0.8038645564961354,-0.04249513353137334,-0.08369656203946202,-0.0009283575999635524,1
I2M,cv_first,inter:gated,1506,76,0.7746227456753773,0.14938202681842894,0.8038645564961354,-0.028558010932149734,-0.06486712651637554,0.009283140222099051,0
I2M,cv_first,inter:moddrop,1506,76,0.7780456385719544,0.1540863884542014,0.8038645564961354,-0.025301721593605574,-0.06776297454229048,0.018416392125554987,0
I2M,cv_first,inter:lowrank,1506,76,0.7531284504968714,0.13913242814945198,0.8038645564961354,-0.04979516431938485,-0.09037443977650392,-0.008643563112929789,1
I2M,cv_first,inter:bilinear,1506,76,0.7573794626426205,0.18354318039450138,0.8038645564961354,-0.04629727563661914,-0.08944867416485897,-0.003982844693104235,1
I2M,cv_first,inter:tucker,1506,76,0.7852686786897314,0.17788764894359615,0.8038645564961354,-0.018043167514477793,-0.05255627464049753,0.014715049557811952,0
I2M,cv_first,inter:crossattn,1506,76,0.7828763341921238,0.15989009682239522,0.8038645564961354,-0.019977725303633818,-0.06253159741270663,0.02040001076275025,0
I2M,cv_first,late:mean,1506,76,0.7607701509017298,0.16155456766684317,0.8038645564961354,-0.042512187121424745,-0.0814153961100062,-0.0025547707276854666,1
I2M,cv_first,late:wsrc,1506,76,0.8040071770334929,0.19100361964851312,0.8038645564961354,0.0002281896475051028,-0.009763732592107643,0.010443359545623886,0
I2M,cv_first,uni:ehr_only,1506,76,0.8038645564961354,0.18874015700785401,0.8038645564961354,0.0,0.0,0.0,0
I2M,cv_first,uni:ctpa_only,1506,76,0.6183658446816342,0.10269057181798968,0.8038645564961354,-0.18443103198446414,-0.2636663908691249,-0.10518513912376751,1
M2I,death_30d,early:plain,3300,246,0.7817775967543565,0.22245492082161025,0.7739316956037929,0.008074795567778625,-0.006657518725368108,0.02332459931472045,0
M2I,death_30d,early:blockstd,3300,246,0.7689688586473292,0.20844927900259863,0.7739316956037929,-0.0046840740083797,-0.023518304351327575,0.014707711525105572,0
M2I,death_30d,inter:plain,3300,246,0.751024912017293,0.19219502837495234,0.7739316956037929,-0.022529265556652227,-0.046038034405243566,0.0013819988048391983,0
M2I,death_30d,inter:gated,3300,246,0.7463143099014486,0.18829675556967002,0.7739316956037929,-0.02708159041212573,-0.05198278836634061,-0.0022673104088028057,1
M2I,death_30d,inter:moddrop,3300,246,0.7577121301664884,0.20355195344478239,0.7739316956037929,-0.01591017322032894,-0.04062859070958153,0.008820444571691533,0
M2I,death_30d,inter:lowrank,3300,246,0.75535749463585,0.20077845667729965,0.7739316956037929,-0.018290809907570156,-0.04302407709967354,0.005806255687479831,0
M2I,death_30d,inter:bilinear,3300,246,0.756170768976845,0.19588559569830585,0.7739316956037929,-0.017780996782562043,-0.04090816410428691,0.004765068795959661,0
M2I,death_30d,inter:tucker,3300,246,0.7592561534652674,0.21135695575757643,0.7739316956037929,-0.014569081201308377,-0.03768534054002101,0.007375614332891532,0
M2I,death_30d,inter:crossattn,3300,246,0.7544137769471998,0.19165244291191594,0.7739316956037929,-0.0190795768848295,-0.0428426925089737,0.00510176196715858,0
M2I,death_30d,late:mean,3300,246,0.7919022633251872,0.23295626857115198,0.7739316956037929,0.01826625890275481,-0.0027480527317309987,0.03996893799095654,0
M2I,death_30d,late:wsrc,3300,246,0.7979339370996853,0.2438573842954715,0.7739316956037929,0.02414468998780039,0.012840033528816219,0.03618474438167602,1
M2I,death_30d,uni:ehr_only,3300,246,0.7739316956037929,0.2102184373770195,0.7739316956037929,0.0,0.0,0.0,0
M2I,death_30d,uni:ctpa_only,3300,246,0.7085103635908656,0.15173613358384658,0.7739316956037929,-0.06479902593899621,-0.10385329810150376,-0.02322242627296536,1
M2I,composite_30d,early:plain,3300,505,0.7414038505818382,0.3288526935034319,0.7419677996422183,-0.0004070373839165202,-0.012181835804534894,0.011532018255560543,0
M2I,composite_30d,early:blockstd,3300,505,0.741825395419685,0.32265469883405706,0.7419677996422183,2.315513524200752e-05,-0.013097411911621188,0.01381244356627169,0
M2I,composite_30d,inter:plain,3300,505,0.7065828300182433,0.27653063798535615,0.7419677996422183,-0.03533968106076236,-0.05334622008032123,-0.015808311481877252,1
M2I,composite_30d,inter:gated,3300,505,0.7014676136665545,0.27948433039956355,0.7419677996422183,-0.04036579377708668,-0.06047946991673322,-0.019904009212843573,1
M2I,composite_30d,inter:moddrop,3300,505,0.7164533555323331,0.2866022296926473,0.7419677996422183,-0.02547513655906683,-0.042646176275997066,-0.00797636824354245,1
M2I,composite_30d,inter:lowrank,3300,505,0.7062356754458987,0.272519598023267,0.7419677996422183,-0.03565083050253992,-0.05516264035131573,-0.016170336792622395,1
M2I,composite_30d,inter:bilinear,3300,505,0.7154196850812093,0.2911781676213454,0.7419677996422183,-0.026613972197071276,-0.045550446522549734,-0.008870367153847652,1
M2I,composite_30d,inter:tucker,3300,505,0.7000145238137411,0.28827058813678913,0.7419677996422183,-0.0419646584171504,-0.06083594933187044,-0.023113476814802993,1
M2I,composite_30d,inter:crossattn,3300,505,0.6993258824988045,0.26553209151042506,0.7419677996422183,-0.042501228647020155,-0.06158848367170558,-0.023214852785749786,1
M2I,composite_30d,late:mean,3300,505,0.7391799358826759,0.3201959061651937,0.7419677996422183,-0.002604529766061563,-0.019095973752269152,0.014234276518958432,0
M2I,composite_30d,late:wsrc,3300,505,0.7541376928390513,0.3343916777815471,0.7419677996422183,0.012251344163834598,0.0051084928258145566,0.019844873848430263,1
M2I,composite_30d,uni:ehr_only,3300,505,0.7419677996422183,0.32647971415769544,0.7419677996422183,0.0,0.0,0.0,0
M2I,composite_30d,uni:ctpa_only,3300,505,0.6455544731575125,0.24853743801420702,0.7419677996422183,-0.09613590651317012,-0.12635491125559448,-0.06361545801387855,1
M2I,cv_first,early:plain,3083,288,0.6941388391969788,0.20204132112034892,0.7667505217650566,-0.07228188114505037,-0.09774385367609756,-0.0470306014668819,1
M2I,cv_first,early:blockstd,3083,288,0.7567419499105547,0.23091970969720887,0.7667505217650566,-0.009917179449577582,-0.025601828456461105,0.006636183982744804,0
M2I,cv_first,inter:plain,3083,288,0.6457886106141921,0.16189380129287692,0.7667505217650566,-0.12033168775996937,-0.15190585405782592,-0.08855018231181598,1
M2I,cv_first,inter:gated,3083,288,0.6364825581395349,0.1617392829051934,0.7667505217650566,-0.1296653822104051,-0.16384775254565345,-0.0961911693435059,1
M2I,cv_first,inter:moddrop,3083,288,0.6800213675213674,0.179124756910218,0.7667505217650566,-0.08611456801951482,-0.11223074819307048,-0.06067673473932001,1
M2I,cv_first,inter:lowrank,3083,288,0.666661697475651,0.15812917069227833,0.7667505217650566,-0.09984552440578916,-0.12720468564388387,-0.072042880967019,1
M2I,cv_first,inter:bilinear,3083,288,0.6964308785529716,0.1698865422987499,0.7667505217650566,-0.07025790381187313,-0.09605336691637743,-0.04519529652962472,1
M2I,cv_first,inter:tucker,3083,288,0.6730036275094415,0.1654582702303783,0.7667505217650566,-0.09361243938496085,-0.12035341832857291,-0.06695608945096312,1
M2I,cv_first,inter:crossattn,3083,288,0.6310562015503877,0.15586276929489518,0.7667505217650566,-0.13510267702919304,-0.16749170429879132,-0.10270788062927573,1
M2I,cv_first,late:mean,3083,288,0.6987701252236136,0.19908161428180485,0.7667505217650566,-0.06757737330945558,-0.0914211221447387,-0.043840274272675665,1
M2I,cv_first,late:wsrc,3083,288,0.7411262671437091,0.21898281744728865,0.7667505217650566,-0.025415344250667916,-0.04026065785623414,-0.010391125558223312,1
M2I,cv_first,uni:ehr_only,3083,288,0.7667505217650566,0.2377734035447635,0.7667505217650566,0.0,0.0,0.0,0
M2I,cv_first,uni:ctpa_only,3083,288,0.5396696730272311,0.12033972733033167,0.7667505217650566,-0.22638798005803176,-0.2725617625296498,-0.18253712969625605,1
M2M,death_30d,early:plain,1649,152,0.8775797208451991,0.44310713089925896,0.8809285237140949,-0.0031395185410120307,-0.017845428162778242,0.011072554682868531,0
M2M,death_30d,early:blockstd,1649,152,0.8751889744401083,0.40082582384242177,0.8809285237140949,-0.0056351771350761784,-0.02399186450388615,0.013327286804964525,0
M2M,death_30d,inter:plain,1649,152,0.8647118799001511,0.4227573828508668,0.8809285237140949,-0.015914341438024567,-0.03670925568747918,0.003664479581468054,0
M2M,death_30d,inter:gated,1649,152,0.8615784199978906,0.3958695774817896,0.8809285237140949,-0.0191320100464554,-0.03919419321677431,0.0006967978084675279,0
M2M,death_30d,inter:moddrop,1649,152,0.8695680835354921,0.43093700114238676,0.8809285237140949,-0.011165027878190422,-0.032671660318009284,0.00907766937809607,0
M2M,death_30d,inter:lowrank,1649,152,0.863129768308547,0.41977452603981275,0.8809285237140949,-0.017578680129892728,-0.03630272735431277,-0.0002270383030498855,1
M2M,death_30d,inter:bilinear,1649,152,0.8622596069331646,0.44248119410658193,0.8809285237140949,-0.018465993579121053,-0.04379208794606342,0.006639100299975658,0
M2M,death_30d,inter:tucker,1649,152,0.8619651583869494,0.4099896088540815,0.8809285237140949,-0.018801281133506115,-0.03842074778935021,0.0007663161593805601,0
M2M,death_30d,inter:crossattn,1649,152,0.862668319094329,0.409438906854104,0.8809285237140949,-0.018070288929966885,-0.038221517568724724,0.0014299755787422436,0
M2M,death_30d,late:mean,1649,152,0.8709480364237246,0.41715631775389883,0.8809285237140949,-0.00995024062586689,-0.03249076057464107,0.013289955335763048,0
M2M,death_30d,late:wsrc,1649,152,0.8879513412790493,0.45298026702345934,0.8809285237140949,0.00703517669481689,-0.0050477100299745285,0.019370187622067932,0
M2M,death_30d,uni:ehr_only,1649,152,0.8809285237140949,0.43845051241058536,0.8809285237140949,0.0,0.0,0.0,0
M2M,death_30d,uni:ctpa_only,1649,152,0.7536015012481102,0.2491013854081513,0.8809285237140949,-0.1271583806425465,-0.17174104804166274,-0.0805374255985591,1
M2M,composite_30d,early:plain,1649,219,0.8278826196634415,0.4018254110388502,0.8409601813711403,-0.013159636825710514,-0.02868395292659133,0.0012650338503551867,0
M2M,composite_30d,early:blockstd,1649,219,0.8355174505859437,0.41122515616963756,0.8409601813711403,-0.005700483208163774,-0.021997565716870227,0.010122898385254644,0
M2M,composite_30d,inter:plain,1649,219,0.8203595491266724,0.38839446807992006,0.8409601813711403,-0.020990144867378407,-0.043005949771376575,-0.00010485846423635161,1
M2M,composite_30d,inter:gated,1649,219,0.8134591435961299,0.3813209043008004,0.8409601813711403,-0.027957620566872815,-0.05143935339840362,-0.006434183207865494,1
M2M,composite_30d,inter:moddrop,1649,219,0.8340613724175366,0.4013140852698603,0.8409601813711403,-0.007264314422003765,-0.0277091759931933,0.01241687246016594,0
M2M,composite_30d,inter:lowrank,1649,219,0.8230992751540698,0.3638164955451593,0.8409601813711403,-0.01819097364417441,-0.036420327320516026,0.00043759257573008236,0
M2M,composite_30d,inter:bilinear,1649,219,0.8133569626720312,0.3766492305762283,0.8409601813711403,-0.028157473163134134,-0.050069563929151815,-0.007358254496127626,1
M2M,composite_30d,inter:tucker,1649,219,0.8245713190918671,0.3801635292188903,0.8409601813711403,-0.016770850421790745,-0.03445128135949418,0.001236243691856324,0
M2M,composite_30d,inter:crossattn,1649,219,0.822668199380528,0.3724684696827065,0.8409601813711403,-0.018461956557013395,-0.039770756110674294,0.002104619149286606,0
M2M,composite_30d,late:mean,1649,219,0.8180477057189386,0.39328353887334744,0.8409601813711403,-0.02319751240216434,-0.04268014659678948,-0.003595788266385438,1
M2M,composite_30d,late:wsrc,1649,219,0.8411884918734234,0.42437650092190266,0.8409601813711403,5.361113002595902e-05,-0.009869006722647256,0.010371377857858808,0
M2M,composite_30d,uni:ehr_only,1649,219,0.8409601813711403,0.42656906616103785,0.8409601813711403,0.0,0.0,0.0,0
M2M,composite_30d,uni:ctpa_only,1649,219,0.6966152568892294,0.257967892148618,0.8409601813711403,-0.14484090134106867,-0.18435212203288018,-0.10720170231794565,1
M2M,cv_first,early:plain,1506,76,0.754112992270887,0.13867334795178798,0.7724420316525579,-0.01851984872477051,-0.06465110689080351,0.022880886017783632,0
M2M,cv_first,early:blockstd,1506,76,0.7937983069562017,0.1755913613702885,0.7724420316525579,0.021259098874626323,-0.011072795907242559,0.0518595482432352,0
M2M,cv_first,inter:plain,1506,76,0.7109863820390137,0.11269851288199939,0.7724420316525579,-0.06201843021075704,-0.12011321457800807,-0.008657226590836758,1
M2M,cv_first,inter:gated,1506,76,0.7049319101950681,0.11502184897066114,0.7724420316525579,-0.06770760178189503,-0.13448530309698298,-0.00921990441881488,1
M2M,cv_first,inter:moddrop,1506,76,0.7587596613912404,0.14784442883928162,0.7724420316525579,-0.013741283182144851,-0.055033429562852315,0.02464305822560621,0
M2M,cv_first,inter:lowrank,1506,76,0.743375046006625,0.12155371801366627,0.7724420316525579,-0.02921920829840029,-0.07648112293581626,0.01569645599736751,0
M2M,cv_first,inter:bilinear,1506,76,0.7372377622377623,0.1264969092348562,0.7724420316525579,-0.03600501994939893,-0.08231133490045439,0.011515314674691577,0
M2M,cv_first,inter:tucker,1506,76,0.740218991534781,0.12498223656067516,0.7724420316525579,-0.03256776311670099,-0.08191923500044127,0.014669769927708286,0
M2M,cv_first,inter:crossattn,1506,76,0.7212182554287818,0.11632477119559412,0.7724420316525579,-0.05157006124877806,-0.10360927902776627,-0.000900363509001616,1
M2M,cv_first,late:mean,1506,76,0.7712964666912034,0.16321352098155686,0.7724420316525579,-0.0011039598516620502,-0.04188067410815124,0.037024905120712395,0
M2M,cv_first,late:wsrc,1506,76,0.7872285609127715,0.17012736982571003,0.7724420316525579,0.014787779648507261,-0.00914723390757333,0.0376355782868719,0
M2M,cv_first,uni:ehr_only,1506,76,0.7724420316525579,0.1412444568041063,0.7724420316525579,0.0,0.0,0.0,0
M2M,cv_first,uni:ctpa_only,1506,76,0.6660655134339345,0.0996546714951787,0.7724420316525579,-0.10622843805062893,-0.18436300612676368,-0.03476000232491268,1
I2I,death_30d,early:plain,3300,246,0.7991145825014243,0.24576390087079997,0.7797350935198939,0.01996096147449425,0.0010650930146237805,0.040258666645215165,1
I2I,death_30d,early:blockstd,3300,246,0.7953636707290451,0.2315325059742369,0.7797350935198939,0.01630222246587202,-0.005081304677574555,0.038388424629004554,0
I2I,death_30d,inter:plain,3300,246,0.747765159380474,0.22473524184397892,0.7797350935198939,-0.03156335382844868,-0.05905947530013074,-0.004015253526721233,1
I2I,death_30d,inter:gated,3300,246,0.7468254348555272,0.22456370804994097,0.7797350935198939,-0.03249294756689734,-0.06035887644988133,-0.004082427029739059,1
I2I,death_30d,inter:moddrop,3300,246,0.754658690987696,0.22607249618047703,0.7797350935198939,-0.0248065059548669,-0.05005285008516165,0.0002325936650673619,0
I2I,death_30d,inter:lowrank,3300,246,0.7444348608515555,0.21305688639259343,0.7797350935198939,-0.03476394119079028,-0.06483944606580737,-0.006384848704525685,1
I2I,death_30d,inter:bilinear,3300,246,0.7616946454336841,0.23746918940403391,0.7797350935198939,-0.01767740748316368,-0.04786885465444289,0.01190245520014814,0
