target,slope,intercept,r,r2,p,spearman,sp_p,n
late_best,-0.22905351853615336,0.03582466433678743,-0.9059163906367245,0.8206845068242704,4.948507932003523e-05,-0.9160839160839163,2.8428045348547105e-05,12
early_best,-0.11062714892906962,0.02353804926825607,-0.603836733314262,0.3646188004996392,0.03760145786197676,-0.6153846153846154,0.03316990109010588,12
inter_best,-0.4681351467262757,0.03756979311885812,-0.6792007870717135,0.4613137091588351,0.015134345704239287,-0.4545454545454546,0.13765791634772945,12
any_best,-0.13791115511300392,0.029468795285588767,-0.7489611703349436,0.5609428346694884,0.005058890170558503,-0.7412587412587414,0.005801150474478243,12
late_best_nocv,-0.25534029446710305,0.03777776606074288,-0.8684035812890747,0.7541247799956905,0.005149828475945786,-0.8571428571428572,0.006530017254715292,8
early_best_nocv,-0.10989098933387921,0.02374245976544089,-0.46145199513256946,0.2129379438118289,0.24975702597990534,-0.523809523809524,0.18272075053971482,8
any_best_nocv,-0.21807629127916048,0.03730261755190083,-0.7939414696267983,0.6303430571931603,0.01863211885689921,-0.7857142857142858,0.020815127253525276,8
