outcome,pair,nfeat,cancorr1,cancorr_mean,shared_var,gap,best_uni,late_gain
death_30d,ehr+ecg,292,0.7032199971870337,0.4412795082072226,0.21217886883374307,0.1459190428902447,0.8644991015274036,0.004602455431030217
death_30d,ecg+ctpa,310,0.42683393309538664,0.29745146699188807,0.09168405932669457,0.07247481912327991,0.7910548777604388,0.025522237196765496
death_30d,ehr+ctpa,74,0.4617542355596566,0.2525846390249443,0.07488034870162309,0.0734442237669648,0.8644991015274036,0.018581979713434338
composite_30d,ehr+ecg,292,0.7032199971870337,0.4412795082072226,0.21217886883374307,0.09853174488087146,0.8335830731205872,0.006995936491977717
composite_30d,ecg+ctpa,310,0.42683393309538664,0.29745146699188807,0.09168405932669457,0.0029931179233679828,0.7350513282397158,0.054832115784736124
composite_30d,ehr+ctpa,74,0.4617542355596566,0.2525846390249443,0.07488034870162309,0.10152486280423945,0.8335830731205872,0.010101303050907284
cv_first,ehr+ecg,292,0.7042315375638312,0.44420033435812856,0.21473635561446708,0.1054364917233096,0.8028018175290024,0.0029296512275749365
cv_first,ecg+ctpa,310,0.4286385331207675,0.3028033741794693,0.09469665702233546,0.08106451732719233,0.6973653258056928,0.015004209535836699
cv_first,ehr+ctpa,74,0.4310052804440189,0.24618289603606708,0.07069332358239881,0.18650100905050193,0.8028018175290024,0.0009347645755178879
death_30d_inhosp,ehr+ecg,292,0.7032199971870337,0.4412795082072226,0.21217886883374307,0.15335262492338975,0.8717393721699418,0.0019550190459197703
death_30d_inhosp,ecg+ctpa,310,0.42683393309538664,0.29745146699188807,0.09168405932669457,0.03300775542608303,0.7513945026726351,0.033758989596505806
death_30d_inhosp,ehr+ctpa,74,0.4617542355596566,0.2525846390249443,0.07488034870162309,0.12034486949730672,0.8717393721699418,0.005784891012860172
